,price_change,rps1,rps3,rps5,rps10,rps15,rps20,label
9350,0.018313612223981982,54,59,56,39,56,57,95
9351,0.01538257776432306,78,57,68,47,56,59,54
9352,0.005257191548931228,38,46,51,47,48,60,78
9353,-0.001966620601679514,48,74,42,58,60,67,38
9354,0.005535492047979318,60,61,43,56,65,68,48
9355,0.014343135508553928,88,37,26,47,57,69,60
9356,0.01934546717665131,27,12,14,36,49,62,88
9357,-0.013815251664136441,17,16,39,47,63,68,27
9358,-0.04327941872027585,39,43,68,63,75,70,17
9359,-0.0008669961003779925,39,60,71,69,78,76,39
9360,-0.012068654949692448,56,83,73,73,80,74,39
9361,0.004152793261031684,78,81,73,75,80,70,56
9362,0.010274215262523922,88,59,60,77,83,65,78
9363,0.021418994072922803,38,33,49,73,76,59,88
9364,-0.011019065809251494,38,45,73,77,77,72,38
9365,-0.006824482832160418,51,65,65,72,70,75,38
9366,-0.0071951264811856985,62,78,65,78,65,76,51
9367,0.01060874526998612,73,60,78,81,65,78,62
9368,0.012224177043474338,76,57,80,74,59,73,73
9369,0.02628028140452665,25,63,73,73,67,55,76
9370,-0.025607313986936053,65,86,78,64,75,60,25
9371,0.0045040402768077295,82,73,71,57,72,62,65
9372,0.017662367930391554,69,54,76,44,60,45,82
9373,-0.005823563031960077,47,48,57,33,48,34,69
9374,-0.01312916122000196,43,73,67,54,46,46,47
9375,-0.0024559095799482344,58,61,52,51,44,50,43
9376,0.005773738285237862,82,70,37,53,49,43,58
9377,-0.003068607195407469,27,31,21,42,39,37,82
9378,-0.012159073364888973,65,29,25,47,36,45,27
9379,0.012895622125088655,10,14,42,35,41,45,65
9380,-0.014771920199313837,26,34,63,46,53,45,10
9381,0.002599623996413225,47,83,78,62,54,55,26
9382,-0.017275786870253773,58,74,72,56,56,56,47
9383,0.011641277843741582,87,78,68,43,56,51,58
9384,0.02585570908196666,54,53,42,39,47,39,87
9385,0.010055848576229877,72,47,35,47,48,41,54
9386,0.019474635889197955,44,30,43,32,43,23,72
9387,-0.018035519327378458,39,26,40,38,49,21,44
9388,-0.007947795854966189,34,48,27,48,43,26,39
9389,0.0031085799125420976,39,49,52,56,39,21,34
9390,-0.00045988916284711584,75,37,65,58,39,23,39
9391,0.01482480841484346,35,42,41,44,20,30,75
9392,-0.0034355128059814217,14,64,50,52,30,37,35
9393,-0.007806258967696822,82,69,73,53,39,51,14
9394,0.013189895997453904,69,47,57,34,22,38,82
9395,0.01862242855999363,36,43,46,28,13,32,69
9396,-0.021212417980609133,56,62,51,23,30,30,36
9397,0.002273298363539178,66,52,56,23,31,30,56
9398,0.0023770917620389302,69,48,46,21,34,35,66
9399,0.018682446518490048,40,50,21,14,29,36,69
9400,-0.0017529115139871545,48,44,30,13,31,39,40
9401,-0.0010993623698255515,72,24,17,21,30,43,48
9402,0.01775150336477016,29,14,7,24,26,33,72
9403,0.001344458386975944,7,10,14,37,34,37,29
9404,-0.012658940703703436,55,26,22,43,47,42,7
9405,0.007464833824369466,12,31,18,50,55,43,55
9406,0.0042652080306377895,54,42,51,53,69,55,12
9407,-0.03414754948977183,47,34,54,52,55,49,54
9408,0.006679646073729506,36,53,73,62,54,57,47
9409,0.011669662480533916,40,68,71,68,53,55,36
9410,-0.0005841425307775427,86,86,83,73,52,50,40
9411,0.010847013431368957,60,65,53,67,48,29,86
9412,0.006107684044336814,80,71,37,48,43,14,60
9413,0.01050155837534228,35,25,48,42,47,13,80
9414,0.0018496166885682008,62,34,64,43,42,22,35
9415,0.005467355332535506,23,50,65,41,32,19,62
9416,-0.0049703468939452655,42,78,76,47,21,22,23
9417,0.009187705361227705,83,82,65,44,16,17,42
9418,0.022766911408128362,72,66,43,50,12,15,83
9419,-0.011899507794997266,66,41,27,32,15,8,72
9420,0.018611760474734892,55,30,20,17,9,11,66
9421,0.03978631051752912,16,17,26,13,13,13,55
9422,-0.02229408871497773,39,28,34,10,15,17,16
9423,0.02570204026965484,39,47,55,20,27,24,39
9424,-0.031000709477582163,53,56,60,31,29,30,39
9425,-0.066843214352035,65,73,44,34,26,28,53
9426,0.00027458549704006957,40,54,17,18,18,21,65
9427,-0.037393203921233235,82,34,6,12,13,22,40
9428,0.0004277559146976806,27,0,3,8,11,15,82
9429,-0.004193789474091769,21,0,13,9,23,17,27
9430,-0.01107490110327769,6,7,26,26,28,25,21
9431,-0.0311652462981995,11,53,44,36,33,30,6
9432,-0.0021694302839140307,38,67,43,32,33,30,11
9433,-0.020303574343071614,87,64,45,34,36,40,38
9434,0.032810650444268015,48,30,32,38,34,38,87
9435,-0.029797750358888764,46,36,35,36,28,38,48
9436,-0.006018329534247746,5,21,34,27,27,39,46
9437,-0.03257473562077573,59,44,34,39,35,45,5
9438,0.008586353478601039,26,46,31,36,47,51,59
9439,-0.0028189014017180325,57,29,62,47,52,60,26
9440,-0.003670033198391876,48,24,47,31,52,57,57
9441,0.01895491072065769,11,60,43,36,55,59,48
9442,-0.018299774405537542,55,65,52,49,60,61,11
9443,-0.0020904266847511233,92,64,52,59,67,56,55
9444,0.00839311207853788,28,17,26,37,57,49,92
9445,-0.016993024682160462,27,30,25,56,62,50,28
9446,-0.0034290805367738213,40,49,39,62,71,57,27
9447,-0.0016238411600638658,56,41,37,61,68,58,40
9448,0.007145957395093826,56,34,69,69,56,59,56
9449,0.013103739402680505,24,34,60,74,63,53,56
9450,0.009994421883271487,60,80,73,79,64,54,24
9451,0.0339283155965191,52,73,75,81,69,47,60
9452,-0.05194402652401653,88,81,75,73,62,43,52
9453,-0.013776545868581793,57,60,63,46,52,37,88
9454,0.0055744940991182546,62,47,72,50,47,25,57
9455,0.018944219602322617,57,63,64,48,41,26,62
9456,-0.01299792977922276,34,68,66,48,34,22,57
9457,-0.036273800915883385,72,65,57,44,31,25,34
9458,-0.01282839298106464,70,65,37,37,29,20,72
9459,-0.006836389414919264,52,43,39,28,16,23,70
9460,-0.0036134964911478384,74,16,31,27,17,22,52
9461,0.004926075997620849,17,19,32,17,8,17,74
9462,-0.003406050324393561,12,32,40,26,16,26,17
9463,-0.008909907687513874,74,62,49,33,25,20,12
9464,0.013280885129223874,39,44,37,15,25,17,74
9465,-0.02712751660672452,63,54,36,22,31,11,39
9466,0.015750232385805862,28,30,26,12,30,12,63
9467,-0.01808863045961961,65,34,20,21,29,16,28
9468,0.010405682979759412,33,17,22,21,21,13,65
9469,0.0013399891509311426,32,23,9,30,24,12,33
9470,-0.0066394247114897045,31,34,22,33,17,11,32
9471,0.0038088676104588437,43,13,27,41,12,16,31
9472,0.002278264517482365,47,37,34,42,22,26,43
9473,-0.004976961484740028,17,26,40,33,24,36,47
9474,-0.027084862779400587,70,53,61,38,27,34,17
9475,0.00765884308343212,30,38,47,19,14,28,70
9476,0.00667691283887617,51,58,58,25,25,26,30
9477,0.01261415635007723,51,56,51,17,29,29,51
9478,0.014704445848175762,69,64,26,17,34,35,51
9479,0.009874554033835858,47,41,15,12,22,39,69
9480,-0.02681642906286497,52,13,13,7,20,52,47
9481,0.006622879212985433,35,14,4,14,11,42,52
9482,-0.03777438892091778,5,8,8,20,22,57,35
9483,-0.017100344566002068,40,13,21,53,43,68,5
9484,-0.01580757456275816,21,21,29,41,51,53,40
9485,-0.025824297798756838,23,39,26,54,74,85,21
9486,-0.013957453671968212,39,58,76,49,82,86,23
9487,-0.005795740245459814,72,57,82,56,86,86,39
9488,0.016169816536452553,60,77,83,56,83,88,72
9489,-0.005002996586497055,24,75,57,67,69,85,60
9490,-0.021327779666780008,91,93,74,90,93,89,24
9491,0.02945852208586985,58,47,30,65,74,91,91
9492,-0.0061834331534059706,78,49,34,75,78,88,58
9493,0.012655478022445932,17,19,39,62,78,91,78
9494,-0.022985340893772462,56,39,73,73,82,94,17
9495,0.004740470070199399,18,48,83,86,86,92,56
9496,-0.02817903291754642,68,88,88,86,95,91,18
9497,0.01669366847849285,82,95,91,91,97,87,68
9498,0.013809547177327408,91,85,91,92,97,82,82
9499,0.02510179201287777,92,82,55,83,98,64,91
