,price_change,rps1,rps3,rps5,rps10,rps15,rps20,label
4590,-0.00668134280499233,24,68,85,90,91,77,29
4591,0.006841915736406357,78,87,91,87,87,75,24
4592,0.0061007604087717215,73,89,89,89,86,75,78
4593,0.007922466856805865,93,84,84,90,81,74,73
4594,0.02520227333606595,61,70,80,86,69,55,93
4595,0.014434724532156553,40,66,87,87,73,51,61
4596,0.0077600200599157185,85,82,84,83,71,52,40
4597,0.0013788181810172606,43,76,75,73,68,54,85
4598,-0.034818942984605306,90,83,85,75,65,50,43
4599,0.021527653359827648,69,69,77,43,36,44,90
4600,-0.0041199656128855225,56,71,76,52,26,57,69
4601,0.004220971724810285,73,74,70,52,30,78,56
4602,0.008052351229636656,76,69,51,43,32,73,73
4603,0.01767605594576982,49,43,30,30,18,76,76
4604,-0.008153284848967044,60,37,21,20,25,77,49
4605,-0.0013351812536138707,36,32,30,13,43,78,60
4606,-0.011375933812748595,47,17,35,11,78,79,36
4607,0.006812972215418434,35,34,41,31,71,85,47
4608,0.0017339774868989632,13,44,43,26,84,79,35
4609,0.0035830698019541085,81,72,30,40,87,81,13
4610,-0.006740557625955046,46,44,13,56,88,83,81
4611,-0.00016996564500859623,63,17,20,88,89,82,46
4612,0.010047880276050858,38,11,23,81,88,86,63
4613,-0.01772149970734338,6,10,18,93,86,86,38
4614,-0.030489245542532625,28,71,53,96,91,91,6
4615,-0.007675279070132546,60,60,82,95,89,91,28
4616,0.006224361371044429,88,59,95,95,89,91,60
4617,-0.00013163160000839724,15,75,91,92,89,91,88
4618,-0.016104015591148713,57,96,100,94,87,92,15
4619,0.008604609119380768,95,100,99,95,91,97,57
4620,0.027840762011967838,100,89,88,84,86,92,95
4621,0.04813965453380753,25,55,61,54,69,91,100
4622,-0.027618618072903892,81,75,82,73,79,88,25
4623,0.01982083766874632,68,65,58,65,69,85,81
4624,0.01481681217611608,65,78,51,64,90,84,68
4625,0.013176578084339585,65,43,65,72,88,83,65
4626,0.01761265475902629,78,41,53,67,91,83,65
4627,-0.00533531006261323,13,55,54,69,88,77,78
4628,-0.020890853141761975,52,56,69,76,90,85,13
4629,0.0100262087809182,82,78,73,91,91,83,52
4630,0.02046274507045065,27,47,69,91,87,82,82
4631,-0.005760030216551915,84,78,73,94,86,81,27
4632,0.016550491679722112,32,68,67,86,73,79,84
4633,-0.0018086733516998745,63,66,71,91,78,82,32
4634,0.005698439531704791,81,63,91,89,77,81,63
4635,0.0230813140429178,32,47,93,80,80,73,81
4636,-0.022131319238478,78,95,95,82,82,82,32
4637,0.012178006825658949,42,95,95,69,83,80,78
4638,-0.00449122621868725,96,96,92,80,82,82,42
4639,0.05591012237620552,72,63,56,36,53,68,96
4640,0.011780894579251022,69,53,37,40,38,43,72
4641,0.004216287711136024,44,39,32,34,43,47,69
4642,0.009086955110519712,61,36,20,52,52,56,44
4643,0.010974399630380159,20,23,28,55,55,70,61
4644,-0.00654726588732335,30,17,27,53,72,75,20
4645,0.0020435869393367057,43,44,57,52,51,76,30
4646,0.012905488571542056,20,43,52,65,62,74,43
4647,-0.043508422802267084,78,78,85,78,69,68,20
4648,0.016964012142715482,35,52,82,76,78,60,78
4649,0.01149577958522463,78,84,75,81,79,62,35
4650,0.013352863165812412,36,80,47,55,80,61,78
4651,-0.003040285426363587,87,76,69,63,77,69,36
4652,0.021448200331915638,56,17,56,47,47,48,87
4653,0.002354471947705772,28,39,60,70,46,42,56
4654,0.00016166035966724834,17,65,78,76,44,51,28
4655,-0.007058832971719165,78,85,60,80,60,37,17
4656,0.014790722676664812,73,83,52,69,57,23,78
4657,0.019651755065884124,63,36,52,41,46,25,73
4658,0.014137965884717827,76,37,77,38,42,16,63
4659,-0.009715080824635123,6,36,69,28,40,9,76
4660,-0.010481185446832741,69,89,83,61,36,16,6
4661,0.0470197359325315,63,85,62,50,25,17,69
4662,-0.0045959281739283995,92,73,42,46,29,15,63
4663,0.06988072287123992,48,29,21,26,10,6,92
