,price_change,rps1,rps3,rps5,rps10,rps15,rps20,label
12070,0.013148033961011052,85,73,61,48,45,37,89
12071,0.028388859080044963,56,34,47,30,34,39,85
12072,-0.002248481544930625,26,42,43,22,26,39,56
12073,-0.0038783741855413782,27,58,43,28,39,47,26
12074,0.0002327566141671067,78,67,47,38,43,54,27
12075,0.019951530738414158,59,40,31,27,28,56,78
12076,0.01134442432548699,45,24,21,26,34,46,59
12077,-0.010130317674087008,33,30,23,24,37,52,45
12078,-0.03833920578992467,30,32,30,39,47,51,33
12079,-0.004333108934548413,56,34,38,48,60,56,30
12080,-0.007098408036075644,30,32,36,31,61,52,56
12081,-0.002535425528917945,30,51,51,51,59,51,30
12082,-0.0031825968117866754,56,63,48,60,68,53,30
12083,0.0112837115080604,63,58,60,70,66,60,56
12084,-0.004495080854913458,56,43,58,73,63,45,63
12085,-0.0019562845641623032,53,49,38,71,59,29,56
12086,-0.006763321126971089,33,56,48,63,47,31,53
12087,0.004287416385998721,71,36,61,73,56,27,33
12088,0.010964101104946387,60,48,67,65,56,36,71
12089,0.020016252926494005,13,52,75,61,35,17,60
12090,-0.030537787698598717,74,86,91,63,37,22,13
12091,0.009955385475177936,68,78,68,47,27,8,74
12092,0.011642837977691832,77,78,68,51,18,14,68
12093,-0.0029236972349084844,60,50,52,38,15,19,77
12094,-0.007453910932402773,71,48,34,20,9,15,60
12095,0.0043144911662460475,20,36,30,8,7,14,71
12096,-0.0059080279116446865,56,46,31,14,7,18,20
12097,-0.0114745659600356,48,37,35,9,8,20,56
12098,-0.0074041730922874685,42,24,37,13,20,22,48
12099,0.0027761216276642737,47,42,26,10,16,20,42
12100,-0.004737842473691467,21,52,15,12,24,28,47
12101,0.001476377952755792,69,39,21,6,30,34,21
12102,-0.01092886137795479,65,12,13,13,30,34,69
12103,0.014043845107936326,5,8,11,20,29,21,65
12104,-0.004487215145278167,15,21,13,26,35,26,5
12105,-0.0028104949799384604,56,62,20,36,49,32,15
12106,0.015071321321321385,46,19,7,44,52,27,56
12107,-0.017726279693592528,69,14,25,50,48,27,46
12108,0.002467287646928273,5,4,36,49,36,26,69
12109,-0.012303311306633535,23,38,53,64,42,46,5
12110,-0.004162803802875703,6,85,67,77,47,48,23
12111,-0.017695796578693582,94,94,95,85,65,65,6
12112,0.02745594481290881,91,69,77,60,46,47,94
12113,0.021649281637472928,33,58,58,34,35,31,91
12114,-0.009891710820566613,57,74,60,40,36,34,33
12115,0.0155680158318805,79,71,62,35,34,29,57
12116,-0.0036430898660130273,63,47,47,21,26,22,79
12117,0.005219443133553492,56,41,41,18,23,20,63
12118,-0.00029250526037682967,29,43,26,23,21,18,56
12119,0.00562682658367164,63,52,30,26,25,27,29
12120,0.0063981359460647536,56,19,17,24,21,21,63
12121,0.0009271561158850083,43,13,18,21,19,21,56
12122,0.008949495144320306,13,12,22,23,19,14,43
12123,-0.006429420106550232,37,39,47,34,21,15,13
12124,-0.003751539276611426,43,47,52,36,34,8,37
12125,0.004583856768860528,53,60,52,39,29,8,43
12126,0.015721034432377046,59,56,49,29,30,9,53
12127,-0.03295844165630535,58,49,37,24,21,20,59
12128,0.010239037758830616,52,35,28,21,15,17,58
12129,0.014901733545801488,41,34,35,34,9,18,52
12130,-0.0005501824289105839,54,33,32,27,11,14,41
12131,0.0022928457408213365,29,29,15,27,8,7,54
12132,-0.0039028620988724727,50,50,23,21,17,7,29
12133,0.0005495935900030613,58,21,22,13,19,13,50
12134,0.005916413683404009,42,26,39,10,19,16,58
12135,0.0015445290643456564,15,15,25,9,13,17,42
12136,-0.0069263568134898534,51,62,34,17,17,26,15
12137,0.010794207985958648,33,41,25,26,14,20,51
12138,0.003434307854878416,92,36,17,34,24,26,33
12139,-0.00396643634698024,16,8,0,24,21,28,92
12140,-0.00407644301229726,39,7,15,25,30,43,16
12141,0.034011762108347776,13,4,23,30,39,47,39
12142,-0.02299312657495567,9,23,55,41,42,55,13
12143,0.005977451396218303,32,61,73,58,59,62,9
12144,-0.033877792178089505,77,82,84,70,62,65,32
12145,-0.048984511650247975,64,81,63,60,59,56,77
12146,-4.5312018559728884e-05,90,85,48,58,59,54,64
12147,-0.01437184583091411,60,27,23,27,47,47,90
12148,-0.009107484245556852,48,17,15,30,47,43,60
12149,0.0029827427029329727,9,11,27,39,47,40,48
12150,-0.0164323757967344,48,39,53,58,53,51,9
12151,-0.013174333744043977,34,60,53,56,50,50,48
12152,0.004604984116267197,44,61,51,62,61,61,34
12153,-0.01775283764825919,78,68,52,63,57,67,44
12154,0.026604519626070244,49,38,53,60,55,65,78
12155,-0.029726364999110636,69,56,67,61,52,62,49
12156,0.002351443123938868,10,54,64,52,57,61,69
12157,-0.03040479365236148,62,81,74,73,73,74,10
12158,0.009354645753024029,78,75,73,69,75,76,62
12159,0.014992832447929816,73,70,74,60,74,70,78
12160,0.0024344474311508435,43,53,46,43,67,69,73
12161,0.017432810148355182,54,66,47,56,64,70,43
12162,-0.007147004576815275,60,51,61,65,70,69,54
12163,0.0002476875379004984,69,33,46,73,72,69,60
12164,-0.0029209885374619216,25,48,39,73,65,69,69
12165,-0.01790627848821169,34,60,39,76,74,69,25
12166,-0.001953239121543105,81,65,66,71,78,78,34
12167,0.013587715216379692,31,23,60,69,69,69,81
12168,0.0008806767662226099,48,52,82,80,74,69,31
12169,0.011113679758204764,26,69,87,78,78,66,48
12170,0.010486152568328857,76,90,84,86,76,68,26
12171,0.041017049906779464,82,89,67,79,79,60,76
12172,-0.04195393868270514,86,68,66,65,66,43,82
12173,-0.014063058311071795,76,21,59,54,47,27,86
12174,0.011305365316446991,23,30,43,51,41,30,76
12175,0.004980458617231065,22,73,65,56,47,35,23
12176,-0.02202829430815933,74,77,71,78,50,41,22
12177,-0.023823085114286543,77,61,52,57,34,58,74
12178,-0.011214770195156598,30,52,52,36,20,50,77
12179,-0.017466618549260127,65,55,64,44,34,50,30
12180,0.002258588261771166,62,52,43,37,27,51,65
12181,0.0014891852948990536,33,65,55,26,27,55,62
12182,0.0017740647856203664,72,49,53,30,53,58,33
12183,0.004894453223126982,65,58,39,22,48,47,72
12184,0.011582726736179216,20,45,23,21,44,43,65
12185,-0.03168656337312658,72,43,38,28,58,57,20
12186,0.020204228716727668,29,22,21,17,52,52,72
12187,-0.017448799350742172,30,23,10,55,52,56,29
12188,0.0006688004586059558,43,29,13,58,56,56,30
12189,0.0038203324808183674,47,20,26,60,56,56,43
12190,-0.003559852509019134,30,17,29,64,62,62,47
12191,0.003781156570259237,30,42,41,76,69,68,30
12192,-0.0018591364989187784,26,56,82,76,70,74,30
12193,-0.012029672140193792,73,68,79,71,73,75,26
12194,-0.005869813952759317,56,84,74,64,67,78,73
12195,0.00158555729984311,47,81,82,73,77,76,56
12196,0.011520536090004585,94,83,84,75,77,78,47
12197,0.03585850693730519,59,58,59,65,56,66,94
12198,0.01694504152622467,55,75,47,51,56,56,59
12199,0.0042669354500022285,63,55,43,48,64,64,55
12200,-0.02272951142631996,77,38,56,57,60,57,63
12201,0.010878494436284749,32,28,60,47,64,51,77
12202,-0.038756660179306346,31,53,60,52,64,49,32
12203,-0.006056954398427017,49,69,60,61,57,46,31
12204,-0.01272678887306089,78,65,55,65,57,43,49
12205,-0.003183272216587429,61,47,57,58,50,39,78
12206,-3.900916715426917e-05,49,21,34,60,44,34,61
12207,-0.0025679934632892865,26,49,39,49,39,40,49
12208,0.0012544411893036234,39,48,55,48,47,51,26
12209,-0.011179167148195224,82,59,69,56,38,52,39
12210,-0.003317284434103507,28,40,54,52,34,52,82
12211,0.0030346676114700877,64,67,65,49,40,56,28
12212,-0.0051797194063244465,53,64,59,47,42,49,64
