,price_change,rps1,rps3,rps5,rps10,rps15,rps20,label
14450,0.00406614341232947,44,18,12,6,5,2,61
14451,0.01359701427980009,46,17,17,8,4,0,44
14452,-0.0050749250749251296,12,12,8,3,0,0,46
14453,-0.007183859814025252,17,25,25,6,2,4,12
14454,-0.0020283543224352,41,27,13,9,4,8,17
14455,0.00928922947347699,39,41,13,8,2,17,41
14456,0.007478910401724327,15,13,11,8,0,13,39
14457,-0.017767354425412663,63,29,12,6,0,19,15
14458,-0.0268170084781888,1,17,14,2,6,24,63
14459,-0.013445790451269255,48,19,27,13,23,22,1
14460,-0.009969351760828138,42,31,27,4,35,30,48
14461,-1.4456507596904974e-05,4,39,12,0,26,4,42
14462,-0.012471697412865137,78,66,20,3,33,38,4
14463,0.01802152700467685,56,19,12,12,36,24,78
14464,-0.006655348243623349,46,6,13,26,23,16,56
14465,-0.005053189197263941,10,9,4,43,34,9,46
14466,-0.02051284937265574,8,19,2,44,11,15,10
14467,-0.0010147632593858755,30,10,4,50,55,13,8
14468,-0.000542224694542015,39,1,28,66,55,23,30
14469,0.0154771822113684,5,4,66,54,45,24,39
14470,-0.035931569393256035,4,69,94,75,40,35,5
14471,-0.025440197710355328,26,97,97,66,68,43,4
14472,8.578191556374293e-05,98,99,98,95,63,55,26
14473,0.02852833809403021,91,88,86,64,30,32,98
14474,0.007391030216842509,92,56,33,31,15,9,91
14475,0.01291638532523076,25,42,39,5,8,4,92
14476,-0.004871493364690061,34,26,4,8,10,14,25
14477,-0.01840726837016804,78,58,56,6,13,11,34
14478,0.003228501242049431,7,0,30,6,14,10,78
14479,-0.010932165490461164,87,76,47,17,12,8,7
14480,0.011979303208002669,0,39,10,13,5,5,87
14481,-0.03022720582331995,97,86,55,26,38,16,0
14482,0.025624838746864054,30,1,1,8,11,1,97
14483,0.003415093612122444,15,3,4,16,14,0,30
14484,-0.0009575117900517681,2,3,17,13,7,5,15
14485,-0.010974896251445654,56,50,33,13,15,10,2
14486,0.015040190039499413,11,43,19,33,14,12,56
14487,-0.02631685112219784,81,52,45,43,8,14,11
14488,0.005954861017169355,39,15,44,34,2,4,81
14489,0.004527813712807305,24,29,14,13,6,2,39
14490,-0.003954965904999663,16,70,12,19,11,5,24
14491,-0.01029068988613524,83,41,73,30,21,4,16
14492,0.015527434885169944,77,7,52,5,18,3,83
14493,0.014449032315046796,1,30,32,2,5,3,77
14494,-0.027569917869987748,5,79,36,12,5,1,1
14495,-0.0012732706973502814,97,88,56,32,16,1,5
14496,0.020293462059157497,46,4,8,12,4,0,97
14497,0.00018874840658056333,54,9,0,8,0,1,46
14498,-0.0006642810865780112,0,8,0,4,2,2,54
14499,-0.015504480986086032,56,3,14,6,3,6,0
14500,0.0035272130155781234,36,1,22,10,0,2,56
14501,-0.0030667495954530555,0,9,35,5,0,4,36
14502,-0.019845720634535158,19,77,77,6,14,21,0
14503,-0.002844706897822125,94,92,65,13,17,26,19
14504,0.019307629169058368,75,76,12,2,9,44,94
14505,0.01455404427172624,69,17,21,1,3,64,75
14506,0.022159046654723902,63,4,3,0,3,73,69
14507,-0.03174962292609351,2,6,0,0,13,77,63
14508,-0.01813104279941602,4,15,2,9,23,70,2
14509,-0.0013680035071594876,86,4,6,17,60,85,4
14510,0.017854262765717218,8,2,0,4,79,71,86
14511,-0.012667701739718984,0,0,0,6,90,80,8
14512,-0.034478782287822966,79,35,48,46,100,95,0
14513,0.010254246283126987,6,0,36,39,97,82,79
14514,-0.01133583136255212,59,66,47,86,99,75,6
14515,0.004858301677644228,0,69,27,96,95,88,59
14516,-0.023362302823269343,98,90,39,99,99,100,0
14517,0.047471959629233014,58,20,54,100,94,97,98
14518,0.012655630956472708,14,13,44,97,90,100,58
14519,-0.028611581284842532,13,65,93,99,82,98,14
14520,-0.005121391659006379,13,73,99,100,91,100,13
14521,0.01848034742109084,98,98,100,100,99,99,13
14522,0.041322584873508816,38,99,100,91,91,97,98
14523,0.02537738464252426,100,100,94,87,98,99,38
14524,0.0371466408006087,96,91,82,50,86,92,100
14525,-0.03140075555343025,88,55,36,41,82,85,96
14526,0.01506170301462495,73,23,19,53,84,87,88
14527,-0.027460672285242186,6,13,14,46,78,86,73
14528,-0.040920954511558534,75,36,21,92,93,95,6
14529,0.011914547282238177,17,34,4,82,86,95,75
14530,-0.012891555047152892,51,33,41,89,90,95,17
14531,-0.01251999758321487,65,4,74,93,97,93,51
14532,0.012907774998669684,19,34,73,91,95,95,65
14533,-0.029204961692058995,2,91,97,97,98,99,19
14534,-0.009768637532133528,91,95,98,98,97,98,2
14535,-0.0013462010054359208,97,99,98,96,96,98,91
14536,0.041808378707798965,49,92,95,95,95,96,97
14537,-0.01986039814698892,99,95,94,97,97,97,49
14538,0.05309479270533757,15,76,82,90,91,95,99
14539,-0.006072006792784634,95,86,88,95,89,92,15
14540,0.013887735499122478,78,86,71,86,73,95,95
14541,0.028589488430097895,24,65,82,81,80,95,78
14542,-0.015192173422949762,92,73,95,91,88,95,24
14543,0.01659592541810495,39,78,84,90,90,94,92
14544,-0.011440841549980374,56,95,90,82,87,91,39
14545,-0.009255019766377104,92,93,90,68,97,90,56
14546,0.021101424816552642,85,84,73,70,97,76,92
14547,0.015155768423794402,37,62,54,69,94,69,85
14548,0.003266360838511062,81,65,81,86,94,75,37
14549,0.021805559676031597,38,39,36,75,84,85,81
14550,0.015109033798821113,36,78,22,94,82,79,38
14551,0.02969833413959488,55,46,55,95,73,87,36
14552,-0.0505666110213131,91,19,73,95,68,86,55
14553,-0.011343393062978048,4,17,78,91,56,62,91
14554,-0.013850097453017352,8,78,82,93,89,88,4
14555,-0.0010036619322499882,92,98,99,94,91,95,8
14556,0.006467868460699133,80,89,99,75,92,86,92
14557,-0.021657367458040592,93,98,98,56,80,80,80
14558,0.0026073589237638477,13,95,90,31,47,90,93
14559,-0.02162918236206524,99,96,84,76,79,82,13
14560,0.04582585018249241,87,51,12,25,54,72,99
14561,0.008934338312441614,67,2,0,37,30,73,87
14562,0.010436200089183112,6,2,0,26,34,69,67
14563,-0.011524416408573823,4,1,3,19,77,80,6
14564,-0.016106380228901318,47,11,56,60,72,85,4
14565,-0.026257501943653616,4,13,52,82,88,92,47
14566,-0.014309539233388069,54,93,96,86,95,98,4
14567,-0.013142145181122777,60,94,94,89,97,99,54
14568,0.009185998627316394,99,100,71,97,98,99,60
14569,0.03787939228849213,34,63,74,76,91,96,99
14570,-0.006342087679362174,98,33,88,95,92,95,34
14571,0.032226765136525996,22,34,34,90,92,87,98
14572,-0.0045152900171941965,5,80,53,90,97,90,22
14573,-0.028086774078619148,95,86,94,97,97,96,5
14574,0.012302636851807323,86,50,70,91,95,96,95
14575,0.014001602173382866,2,87,80,87,95,97,86
14576,-0.005303592411561087,64,80,95,95,90,99,2
14577,0.016490095377843073,96,96,95,99,91,99,64
14578,0.0610504944822261,5,65,81,95,89,94,96
14579,-0.02213371577860801,96,92,91,94,95,98,5
14580,-0.0038370773906660775,88,87,81,90,99,95,96
14581,0.015919288038655166,52,68,87,72,94,91,88
14582,-0.034058234163010466,82,76,99,82,94,91,52
14583,0.01170242239541297,44,82,91,83,92,91,82
14584,-0.013783415352723094,70,99,90,91,92,94,44
14585,-0.006268574784628389,95,97,89,97,94,91,70
14586,0.022527824050602385,100,65,17,94,86,73,95
14587,0.04554590402387882,8,1,2,55,47,49,100
14588,-0.0042540223131952715,0,0,14,75,67,73,8
14589,-0.031944402202013555,54,17,81,85,83,86,0
14590,-0.012126456466742376,1,35,97,86,75,91,54
14591,-0.01888093953677572,82,99,100,95,82,95,1
14592,8.843609607511738e-06,95,99,95,89,83,92,82
