,price_change,rps1,rps3,rps5,rps10,rps15,rps20,label
8670,0.003970301866798698,82,6,4,22,31,34,59
8671,0.0266661957048282,0,0,5,22,10,28,82
8672,-0.029293228132941218,15,8,37,39,39,43,0
8673,-0.006169684330637471,8,38,79,39,55,48,15
8674,-0.007806221020092652,47,71,86,66,59,47,8
8675,0.011494612266912618,91,95,70,68,65,39,47
8676,0.019872565256991992,64,83,62,39,50,22,91
8677,-0.007130694438810314,93,59,48,49,43,35,64
8678,-0.0071455585844445455,52,23,6,32,30,19,93
8679,0.002195432908850048,3,10,17,24,20,17,52
8680,-0.029462630663685374,69,17,58,49,25,28,3
8681,0.006851647685620632,17,53,13,39,13,52,69
8682,-0.007318160938420638,9,70,44,47,28,63,17
8683,0.001550454328072659,93,47,82,64,33,64,9
8684,0.009845388855672876,51,27,38,32,22,56,93
8685,-0.002885477553276949,4,48,51,20,23,73,51
8686,-0.02546291081927321,86,72,64,24,66,78,4
8687,0.01847617445301797,82,65,46,27,68,75,86
8688,0.015930853646693333,22,33,40,12,47,66,82
8689,0.008603050003085366,73,47,28,23,70,67,22
8690,-0.011534328011386095,34,40,12,22,78,63,73
8691,-0.004396606486850253,39,30,8,58,80,66,34
8692,0.003920297288404706,63,23,15,70,78,76,39
8693,-0.008135793652621959,13,3,8,50,69,83,63
8694,-0.02679222828275085,18,26,25,83,73,85,13
8695,-0.01119235480051062,11,39,44,91,82,83,18
8696,-0.008902913839018867,81,65,84,93,86,89,11
8697,-0.0031356802263239336,40,47,89,87,84,90,81
8698,-0.009271900400531607,54,85,87,89,89,95,40
8699,0.007639081852511388,56,95,91,86,90,95,54
8700,-0.0005545165326054091,96,87,94,85,91,91,56
8701,0.04553897063933543,77,76,84,69,77,86,96
8702,-0.007535938850807168,15,80,69,69,75,84,77
8703,-0.0002172629590270203,84,86,79,83,92,87,15
8704,0.023618278493790838,90,73,54,78,89,82,84
8705,0.029850969208003782,38,22,44,61,79,69,90
8706,0.009155762522974786,52,34,47,60,75,73,38
8707,-0.01649728257378169,32,60,58,74,87,82,52
8708,-0.00985736038423446,40,52,84,91,85,81,32
8709,0.005003004556501045,77,78,86,90,85,86,40
8710,0.01766113559320326,41,86,79,86,83,75,77
8711,-0.0004931795173442888,81,90,68,82,76,73,41
8712,0.013833727520192962,88,73,66,82,78,64,81
8713,0.020639568886722026,43,22,82,77,56,39,88
8714,-0.0036551117418403,50,49,79,73,73,31,43
8715,0.014048786405736148,15,86,77,64,56,25,50
8716,-0.026031756379593433,78,94,81,69,62,27,15
8717,0.012136683052357268,99,88,88,79,55,21,78
8718,0.03256685402827464,53,32,54,34,20,13,99
8719,0.014824369786028857,31,56,47,47,15,12,53
8720,-0.004824082784572026,24,77,44,36,17,13,31
8721,-0.00616203579045449,91,78,47,42,14,10,24
8722,0.03061477318903072,63,19,45,26,4,4,91
8723,0.011204537938084291,18,9,20,7,4,0,63
8724,-0.007440639019586359,15,51,52,6,6,6,18
8725,-0.004140786749482261,30,53,41,9,6,16,15
8726,0.009541789638374263,84,81,39,8,7,11,30
8727,-0.017271051551075,22,16,26,1,4,11,84
8728,-0.004033885069622323,91,26,12,5,2,35,22
8729,0.029706529590619805,2,14,3,0,5,17,91
8730,-0.015584226593067019,38,9,4,5,16,31,2
8731,-0.0016201764803648322,52,6,2,4,10,42,38
8732,0.003812872061624617,1,0,0,2,13,65,52
8733,-0.02239091315609254,11,6,11,3,56,81,1
8734,-0.007306173040714792,38,9,20,19,57,88,11
8735,0.0003067517563146716,18,20,20,43,61,95,38
8736,-0.006302070954519068,18,33,16,40,80,94,18
8737,0.001138502511747852,67,39,23,63,95,98,18
8738,0.015819406222191246,28,15,4,84,95,89,67
8739,-0.02272537087351889,29,12,31,79,94,87,28
8740,0.002347522519652756,8,4,68,84,98,86,29
8741,0.010703209675169356,65,70,77,95,97,93,8
8742,-0.004083613073119108,4,87,85,100,97,90,65
8743,-0.005029662247014843,97,94,98,100,99,92,4
8744,0.026593236250900487,93,78,89,97,91,82,97
8745,-0.03516264765204935,21,88,86,97,82,77,93
8746,-0.01717125605439973,86,95,95,97,95,89,21
8747,-0.01874977145573553,96,84,98,95,89,78,86
8748,0.023145410461837827,13,58,90,79,71,65,96
8749,-0.010674447847683122,63,95,95,88,73,61,13
8750,0.007189901207464322,78,95,96,77,68,59,63
8751,0.000761717231909209,98,91,91,80,62,52,78
8752,0.044828239625348536,69,84,75,58,49,42,98
8753,-0.010014289282395006,71,78,49,48,39,38,69
8754,0.02443173270050369,88,73,47,40,33,39,71
8755,-0.0064493251721163825,29,18,22,30,21,30,88
8756,-0.01070647170000727,63,24,49,33,21,32,29
8757,-0.016485523016461227,6,18,34,35,21,24,63
8758,-0.016090739025029666,68,74,52,41,33,19,6
8759,0.008045342840476755,27,66,34,22,39,29,68
8760,-0.013189448441247031,92,60,53,39,52,31,27
8761,0.040401616324095,22,14,30,10,27,14,92
8762,-0.015730236655792318,30,32,43,16,24,26,22
8763,-0.009768026491992154,18,53,30,26,17,26,30
8764,-0.017355157990640583,73,75,22,49,30,45,18
8765,-0.003970177265836927,69,37,27,49,21,48,73
8766,0.005820864251056213,53,12,11,38,17,36,69
8767,0.001893388312951716,17,17,19,26,21,26,53
8768,-0.0037075114119087256,8,14,27,17,26,31,17
8769,-0.005009580320168072,75,65,71,47,62,49,8
8770,0.027364205553274124,23,47,72,28,61,35,75
8771,0.024174571121668542,77,77,74,34,63,33,23
8772,-0.04412392453956216,50,78,48,36,37,34,77
8773,-0.028222944243802006,79,71,17,32,43,43,50
8774,0.013843903405036606,72,32,22,43,34,34,79
8775,0.023199728438259012,32,4,14,49,21,34,72
8776,-0.01956015508035636,23,14,12,40,25,38,32
8777,-0.04159551205800716,7,26,33,37,38,38,23
8778,-0.041842086208144995,83,48,60,61,62,46,7
8779,-0.0010671285880553551,39,45,66,51,52,37,83
8780,-0.0074543091407826,18,47,84,46,67,39,39
8781,-0.00891898435204308,88,92,82,52,69,39,18
8782,0.01572507677636881,41,87,54,49,55,39,88
8783,-0.001018266920952193,93,77,59,59,44,26,41
8784,0.02546652410695072,82,30,30,43,31,32,93
8785,-0.011622580688079642,25,17,13,35,18,32,82
8786,0.0018251146052010727,10,24,17,47,21,43,25
8787,-0.025103235501317437,64,35,44,56,39,49,10
8788,0.010048065339611998,43,19,58,34,27,49,64
8789,0.003621483895734468,29,45,61,37,39,40,43
8790,-0.00704340490095412,27,72,79,37,54,38,29
8791,0.002939396154141516,76,78,79,34,59,47,27
8792,0.01513920727473339,75,76,54,39,57,35,76
8793,0.004816151838290539,40,54,26,24,46,23,75
8794,-0.01746229103004515,75,44,31,34,38,24,40
8795,0.008532405429902079,46,13,20,41,23,17,75
8796,0.011014464444048631,26,19,16,47,27,34,46
8797,0.0026786640091249763,21,20,24,58,27,38,26
8798,0.002053048305321159,51,20,17,66,27,43,21
8799,0.003070693501941557,37,45,42,47,32,40,51
8800,-0.02833288324781702,10,13,73,43,28,20,37
8801,-0.0071212246756160455,86,70,81,65,61,17,10
8802,-0.020691862203776838,3,75,71,36,45,24,86
8803,-0.01969007130612288,91,88,82,52,58,47,3
8804,0.005999104450234993,85,74,52,31,43,44,91
8805,0.004450714299906622,57,55,12,11,13,27,85
8806,-0.0018966197980425648,54,14,22,20,5,16,57
8807,0.00019835509529175788,42,5,16,22,14,26,54
8808,0.0055211453520840345,7,19,8,27,29,29,42
8809,-0.025249976802859564,34,31,22,40,39,36,7
8810,-0.01878060877648136,72,20,21,21,41,26,34
8811,0.017705612424991024,21,21,41,15,25,21,72
8812,-0.01848695242450704,10,25,44,27,44,19,21
8813,-0.0059460157561668225,58,70,54,51,48,22,10
8814,-0.009099781932846218,33,55,58,52,47,30,58
8815,-0.0035772457248173244,86,64,35,59,34,36,33
8816,0.006501957261117797,44,47,4,21,21,47,86
8817,0.005056563858467643,51,4,17,44,12,45,44
8818,0.005307312316180646,48,2,38,37,8,34,51
8819,0.0046693823664805114,2,21,52,39,20,34,48
8820,-0.03159982471177114,9,87,83,40,47,52,2
8821,-0.01261124639144784,95,93,79,59,78,57,9
8822,0.02927941789932232,83,74,69,23,60,39,95
8823,0.00684321371982155,73,10,42,8,41,25,83
8824,0.004071139072046259,21,37,34,17,34,21,73
8825,-0.0036953425940754463,5,47,17,25,37,24,21
8826,-0.0024580786791305047,86,68,30,69,41,29,5
8827,0.00474965913601766,43,8,8,46,26,11,86
8828,-0.012625698895229907,49,7,4,43,23,11,43
8829,0.0072287088648874676,1,5,13,43,25,7,49
8830,-0.02681161296465351,32,17,58,65,45,8,1
8831,-0.007165257828216198,23,61,87,57,39,9,32
8832,-0.0031312358131375677,21,77,90,65,32,47,23
8833,-0.007820182550207888,91,97,90,78,39,34,21
8834,0.027245644690304882,60,86,69,52,16,18,91
8835,0.01455404879841704,97,73,62,44,8,13,60
8836,0.029694316994623108,53,31,16,8,4,3,97
8837,-0.010146163650667341,21,24,13,5,13,0,53
8838,-0.0013164122589043314,39,19,25,11,11,3,21
8839,-0.009416838610589728,42,21,27,7,8,8,39
