"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"MMC","Marsh & McLennan Inc","Financials","US Equity","Common stocks","Large cap","$78,463,760,701","1,901,362","Analyze"
"AON","Aon Plc","Financials","US Equity","Common stocks","Large cap","$62,156,089,413","1,055,860","Analyze"
"AJG","Arthur J Gallagher","Financials","US Equity","Common stocks","Large cap","$39,118,617,360","1,251,389","Analyze"
"WTW","Willis Towers Watson Public Limited Company","Financials","US Equity","Common stocks","Large cap","$24,106,795,261","760,237","Analyze"
"BRO","Brown & Brown Inc","Financials","US Equity","Common stocks","Large cap","$15,653,255,170","1,287,222","Analyze"
"ERIE","Erie Indemnity Class A","Financials","US Equity","Common stocks","Large cap","$10,324,180,479","107,026","Analyze"
"CRVL","Corvel Corp","Health Care","US Equity","Common stocks","Mid cap","$3,149,188,517","111,656","Analyze"
"GOCO","GoHealth, Inc. - Class A","Financials","US Equity","Common stocks","Small cap","$1,868,112,132","71,704","Analyze"
"BRP","BRP Group, Inc. - Class A","Financials","US Equity","Common stocks","Small cap","$1,490,369,180","400,707","Analyze"
"FANH","Fanhua Inc. ADRs","Financials","US Equity","ADRs","Small cap","$438,311,046","58,577","Analyze"
"CRD.A","Crawford & Company Class A","Financials","US Equity","Common stocks","Small cap","$355,750,725","63,464","Analyze"
"CRD.B","Crawford & Company Class B","Financials","US Equity","Common stocks","Small cap","$355,750,725","9,201","Analyze"
"SLQT","SelectQuote, Inc.","Financials","US Equity","Common stocks","Micro cap","$294,725,748","1,605,255","Analyze"
"EHTH","Ehealth Inc","Financials","US Equity","Common stocks","Micro cap","$217,871,896","756,242","Analyze"
"HUIZ","Huize Holding Limited ADRs of Class A","Financials","US Equity","ADRs","Micro cap","$50,245,653","31,047","Analyze"
"RELI","Reliance Global Group Inc.","Financials","US Equity","Common stocks","Micro cap","$46,761,075","158,010","Analyze"
"TIRX","Tian Ruixiang Holdings Ltd.","Financials","US Equity","Common stocks","Micro cap","$2,722,877","103,338","Analyze"
