"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"MS","Morgan Stanley","Financials","US Equity","Common stocks","Large cap","$144,377,742,905","10,050,196","Analyze"
"GS","Goldman Sachs Group Inc","Financials","US Equity","Common stocks","Large cap","$105,095,298,447","3,700,256","Analyze"
"SCHW","Charles Schwab Corporation","Financials","US Equity","Common stocks","Large cap","$94,749,704,660","48,684,261","Analyze"
"RJF","Raymond James Inc","Financials","US Equity","Common stocks","Large cap","$19,663,748,296","2,090,408","Analyze"
"LPLA","LPL Financial Holdings Inc","Financials","US Equity","Common stocks","Large cap","$16,040,007,412","1,396,132","Analyze"
"MKTX","Marketaxess Holdings Inc","Financials","US Equity","Common stocks","Large cap","$14,411,973,978","476,338","Analyze"
"NMR","Nomura Holdings Inc ADRs","Financials","US Equity","ADRs","Large cap","$12,028,852,876","963,431","Analyze"
"TW","Tradeweb Markets Inc. - Class A","Financials","US Equity","Common stocks","Mid cap","$8,230,715,786","990,479","Analyze"
"IBKR","Interactive Brokers Group Inc","Financials","US Equity","Common stocks","Mid cap","$8,197,714,446","1,384,929","Analyze"
"SF","Stifel Financial Corp","Financials","US Equity","Common stocks","Mid cap","$6,206,794,843","1,107,004","Analyze"
"XP","XP Inc. - Class A","Financials","US Equity","Common stocks","Mid cap","$4,763,750,708","7,534,618","Analyze"
"HLI","Houlihan Lokey Inc Class A","Financials","US Equity","Common stocks","Mid cap","$4,647,021,530","455,768","Analyze"
"FUTU","Futu Holdings Limited ADRs","Financials","US Equity","ADRs","Mid cap","$4,463,359,670","1,695,740","Analyze"
"EVR","Evercore Inc. Class A","Financials","US Equity","Common stocks","Mid cap","$4,407,595,314","538,039","Analyze"
"LAZ","Lazard, LTD.","Financials","US Equity","Common stocks","Mid cap","$3,777,664,049","929,759","Analyze"
"FOCS","Focus Financial Partners Inc.","Financials","US Equity","Common stocks","Mid cap","$3,399,658,201","2,651,931","Analyze"
"PIPR","Piper Sandler Companies","Financials","US Equity","Common stocks","Mid cap","$2,469,342,317","164,465","Analyze"
"MC","Moelis & Company Class A","Financials","US Equity","Common stocks","Mid cap","$2,468,700,790","580,816","Analyze"
"SNEX","StoneX Group Inc.","Financials","US Equity","Common stocks","Small cap","$1,993,217,563","126,175","Analyze"
"PJT","PJT Partners Inc Class A","Financials","US Equity","Common stocks","Small cap","$1,787,711,963","255,625","Analyze"
"VIRT","Virtu Financial Inc Class A","Financials","US Equity","Common stocks","Small cap","$1,682,519,502","1,536,171","Analyze"
"BGCP","BGC Partners Inc Class A","Financials","US Equity","Common stocks","Small cap","$1,649,583,103","3,335,752","Analyze"
"MARA","Marathon Patent Group Inc","Information Technology","US Equity","Common stocks","Small cap","$1,414,909,874","31,657,258","Analyze"
"DFIN","Donnelley Financial Solutions Inc","Financials","US Equity","Common stocks","Small cap","$1,136,116,557","252,119","Analyze"
"AMRK","A Mark Precious Metals Inc","Financials","US Equity","Common stocks","Small cap","$738,605,790","223,585","Analyze"
"FRHC","Freedom Holding Corp.","Financials","US Equity","Common stocks","Small cap","$642,588,190","166,289","Analyze"
"COWN","Cowen Inc","Financials","US Equity","Common stocks","Small cap","$636,765,696","983,583","Analyze"
"CIFR","Cipher Mining Inc.","Information Technology","US Equity","Common stocks","Small cap","$581,786,317","1,885,477","Analyze"
"TIGR","UP Fintech Holding Limited ADRs of Class A","Financials","US Equity","ADRs","Small cap","$498,655,886","789,873","Analyze"
"HUT","Hut 8 Mining Corp.","Financials","US Equity","Common stocks","Small cap","$424,130,408","10,449,774","Analyze"
"OPY","Oppenheimer Holdings, Inc. Class A","Financials","US Equity","Common stocks","Small cap","$422,899,797","84,758","Analyze"
"PWP","Perella Weinberg Partners - Class A","Financials","US Equity","Common stocks","Small cap","$378,031,398","332,958","Analyze"
"HIVE","Hive Blockchain Technologies Ltd.","Information Technology","US Equity","Common stocks","Micro cap","$269,356,111","1,113,665","Analyze"
"BITF","Bitfarms Ltd.","Financials","US Equity","Common stocks","Micro cap","$215,503,260","3,233,166","Analyze"
"APLD","Applied Blockchain, Inc.","Information Technology","US Equity","Common stocks","Micro cap","$195,561,834","720,723","Analyze"
"TOP","Zhong Yang Financial Group Limited","Financials","US Equity","Common stocks","Micro cap","$187,603,500","94,355","Analyze"
"AMTD","AMTD International Inc. ADRs of Class A","Financials","US Equity","ADRs","Micro cap","$184,208,610","225,898","Analyze"
"IREN","Iris Energy Ltd","Financials","US Equity","Common stocks","Micro cap","$175,945,331","750,988","Analyze"
"GHL","Greenhill Inc","Financials","US Equity","Common stocks","Micro cap","$154,171,682","49,752","Analyze"
"WULF","TeraWulf Inc.","Information Technology","US Equity","Common stocks","Micro cap","$147,395,390","3,347,839","Analyze"
"AC","Associated Capital Group, Inc.","Financials","US Equity","Common stocks","Micro cap","$112,118,423","5,940","Analyze"
"GBL","Gamco Investors Inc Class A","Financials","US Equity","Common stocks","Micro cap","$108,528,254","1,449,962","Analyze"
"HGBL","Heritage Global Inc.","Financials","US Equity","Common stocks","Micro cap","$98,239,591","263,064","Analyze"
"SRL","Scully Royalty Ltd.","Financials","US Equity","Common stocks","Micro cap","$95,158,851","11,131","Analyze"
"WHG","Westwood Holdings Group Inc","Financials","US Equity","Common stocks","Micro cap","$92,457,790","14,958","Analyze"
"ARBK","Argo Blockchain Plc ADRs","Financials","US Equity","ADRs","Micro cap","$78,841,153","149,603","Analyze"
"EQOS","Diginex Limited","Financials","US Equity","Common stocks","Micro cap","$57,123,784","20,053,933","Analyze"
"SIEB","Siebert Financial Corp","Financials","US Equity","Common stocks","Micro cap","$56,607,826","19,825","Analyze"
"NILE","BitNile Holdings, Inc.","Industrials","US Equity","Common stocks","Micro cap","$41,658,502","13,112,912","Analyze"
"BTCM","BIT Mining Limited ADRs","Information Technology","US Equity","ADRs","Micro cap","$26,911,478","147,312","Analyze"
"SDIG","Stronghold Digital Mining, Inc.","Information Technology","US Equity","Common stocks","Micro cap","$20,643,920","1,230,441","Analyze"
"ATIF","ATIF Holdings Limited","Financials","US Equity","Common stocks","Micro cap","$19,447,453","2,173","Analyze"
"BTCS","BTCS Inc.","Information Technology","US Equity","Common stocks","Micro cap","$19,354,537","56,451","Analyze"
"MFH","JMU Limited ADRs","Consumer Discretionary","US Equity","ADRs","Micro cap","$17,431,482","430,810","Analyze"
"SAI","SAI.TECH Global Corporation  - Class A","Information Technology","US Equity","Common stocks","Micro cap","$15,520,384","5,159","Analyze"
"COHN","Cohen & Company Inc.","Financials","US Equity","Common stocks","Micro cap","$13,958,372","8,577","Analyze"
