"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"CHDN","Churchill Downs Inc","Consumer Discretionary","US Equity","Common stocks","Mid cap","$9,158,102,355","249,469","Analyze"
"DKNG","DraftKings Inc. - Class A","Consumer Discretionary","US Equity","Common stocks","Mid cap","$7,894,497,085","10,012,033","Analyze"
"LNW","Light & Wonder, Inc.","Consumer Discretionary","US Equity","Common stocks","Mid cap","$5,135,985,874","592,179","Analyze"
"IGT","International Game Technology Plc","Consumer Discretionary","US Equity","Common stocks","Mid cap","$4,967,018,780","1,639,238","Analyze"
"SGHC","Super Group (SGHC) Limited","Consumer Discretionary","US Equity","Common stocks","Small cap","$1,857,848,404","155,083","Analyze"
"EVRI","Everi Holdings Inc","Consumer Discretionary","US Equity","Common stocks","Small cap","$1,447,857,844","782,753","Analyze"
"ACEL","Accel Entertainment, Inc.","Consumer Discretionary","US Equity","Common stocks","Small cap","$749,666,981","220,505","Analyze"
"GMBL","Esports Entertainment Group Inc.","Consumer Discretionary","US Equity","Common stocks","Small cap","$605,754,981","393,969","Analyze"
"GAMB","Gambling.com Group Ltd","Communication Services","US Equity","Common stocks","Small cap","$363,355,424","33,906","Analyze"
"AGS","PlayAGS, Inc.","Consumer Discretionary","US Equity","Common stocks","Micro cap","$255,874,242","845,061","Analyze"
"RSI","Rush Street Interactive, Inc. Class A","Consumer Discretionary","US Equity","Common stocks","Micro cap","$205,761,425","391,980","Analyze"
"CDRO","Codere Online Luxembourg, S.A.","Consumer Discretionary","US Equity","Common stocks","Micro cap","$128,146,355","8,291","Analyze"
"CPHC","Canterbury Park Holding Corp","Consumer Discretionary","US Equity","Common stocks","Micro cap","$126,924,554","3,523","Analyze"
"LTRY","Lottery.com","Consumer Discretionary","US Equity","Common stocks","Micro cap","$64,973,824","308,526","Analyze"
"GAN","GAN Limited","Consumer Discretionary","US Equity","Common stocks","Micro cap","$56,619,165","188,414","Analyze"
"ELYS","Elys Game Technology, Corp.","Information Technology","US Equity","Common stocks","Micro cap","$20,570,807","120,555","Analyze"
"EBET","eSports Technologies, Inc.","Consumer Discretionary","US Equity","Common stocks","Micro cap","$9,819,183","280,889","Analyze"
"SBET","SharpLink Gaming Ltd.","Consumer Discretionary","US Equity","Common stocks","Micro cap","$7,824,422","102,054","Analyze"
