"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"TRI","Thomson Reuters Corporation","Industrials","US Equity","Common stocks","Large cap","$59,669,416,992","477,043","Analyze"
"VRSK","Verisk Analytics Inc","Industrials","US Equity","Common stocks","Large cap","$28,126,797,992","1,427,332","Analyze"
"EFX","Equifax Inc","Industrials","US Equity","Common stocks","Large cap","$23,986,825,236","745,953","Analyze"
"BAH","Booz Allen Hamilton Holding Corp","Industrials","US Equity","Common stocks","Large cap","$11,914,087,881","1,037,130","Analyze"
"TRU","TransUnion","Industrials","US Equity","Common stocks","Large cap","$11,170,839,000","1,886,613","Analyze"
"NLSN","Nielsen Holdings Plc","Industrials","US Equity","Common stocks","Large cap","$10,068,164,861","22,304,341","Analyze"
"FCN","FTI Consulting Inc","Industrials","US Equity","Common stocks","Mid cap","$6,566,922,644","327,595","Analyze"
"EXPO","Exponent Inc","Industrials","US Equity","Common stocks","Mid cap","$4,652,012,885","355,038","Analyze"
"ICFI","Icf International Inc","Industrials","US Equity","Common stocks","Small cap","$1,969,686,519","94,146","Analyze"
"HURN","Huron Consulting Group Inc","Industrials","US Equity","Common stocks","Small cap","$1,462,236,173","186,363","Analyze"
"CRAI","Cra International Inc","Industrials","US Equity","Common stocks","Small cap","$768,637,528","126,363","Analyze"
"FC","Franklin Covey","Industrials","US Equity","Common stocks","Small cap","$637,824,368","63,403","Analyze"
"FORR","Forrester Research Inc","Industrials","US Equity","Common stocks","Small cap","$612,000,990","129,608","Analyze"
"RGP","Resources Connection, Inc.","Industrials","US Equity","Common stocks","Small cap","$568,419,281","321,753","Analyze"
"BWMN","Bowman Consulting Group Ltd.","Industrials","US Equity","Common stocks","Small cap","$370,993,359","89,365","Analyze"
"SDH","Global Internet of People, Inc.","Industrials","US Equity","Common stocks","Micro cap","$77,172,480","1,303","Analyze"
"GRNQ","Greenpro Capital Corp.","Industrials","US Equity","Common stocks","Micro cap","$10,549,652","5,969","Analyze"
