"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"MSFT","Microsoft Corp","Information Technology","US Equity","Common stocks","Large cap","$2,066,846,488,973","35,017,831","Analyze"
"ORCL","Oracle Corp","Information Technology","US Equity","Common stocks","Large cap","$236,988,619,560","8,707,188","Analyze"
"ADBE","Adobe Inc","Information Technology","US Equity","Common stocks","Large cap","$169,214,441,787","3,942,081","Analyze"
"PANW","Palo Alto Networks Inc","Information Technology","US Equity","Common stocks","Large cap","$58,672,653,874","4,123,530","Analyze"
"SNPS","Synopsys Inc","Information Technology","US Equity","Common stocks","Large cap","$57,783,256,254","850,126","Analyze"
"VMW","VMWare Inc Class A","Information Technology","US Equity","Common stocks","Large cap","$50,651,281,947","1,624,634","Analyze"
"FTNT","Fortinet Inc","Information Technology","US Equity","Common stocks","Large cap","$49,592,192,779","4,820,134","Analyze"
"SQ","Square Inc Class A","Information Technology","US Equity","Common stocks","Large cap","$33,501,222,606","20,420,701","Analyze"
"CRWD","CrowdStrike Holdings, Inc. - Class A","Information Technology","US Equity","Common stocks","Large cap","$29,993,976,539","4,803,106","Analyze"
"VRSN","Verisign Inc","Information Technology","US Equity","Common stocks","Large cap","$21,040,886,570","570,853","Analyze"
"NET","Cloudflare, Inc. Class A","Information Technology","US Equity","Common stocks","Large cap","$16,696,095,191","4,394,728","Analyze"
"PLTR","Palantir Technologies Inc.","Information Technology","US Equity","Common stocks","Large cap","$16,641,057,763","33,194,579","Analyze"
"ZS","Zscaler Inc","Information Technology","US Equity","Common stocks","Large cap","$16,334,717,893","4,256,495","Analyze"
"CHKP","Check Point Software Technologies Ltd.","Information Technology","US Equity","Common stocks","Large cap","$16,056,411,684","869,324","Analyze"
"MDB","MongoDB, Inc. Class A","Information Technology","US Equity","Common stocks","Large cap","$15,413,085,504","2,278,016","Analyze"
"SPLK","Splunk Inc","Information Technology","US Equity","Common stocks","Large cap","$14,937,625,000","2,162,839","Analyze"
"OKTA","Okta Inc Class A","Information Technology","US Equity","Common stocks","Large cap","$12,975,022,308","4,104,168","Analyze"
"NLOK","NortonLifeLock Inc.","Information Technology","US Equity","Common stocks","Large cap","$12,375,789,401","7,732,320","Analyze"
"AKAM","Akamai Technologies Inc","Information Technology","US Equity","Common stocks","Large cap","$11,728,498,340","2,355,011","Analyze"
"GDDY","GoDaddy Inc. Class A","Information Technology","US Equity","Common stocks","Large cap","$11,330,216,365","1,116,680","Analyze"
"DOX","Amdocs Ltd","Information Technology","US Equity","Common stocks","Large cap","$11,245,609,314","763,942","Analyze"
