"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"AER","AerCap Holdings NV","Industrials","US Equity","Common stocks","Large cap","$12,601,781,620","2,471,145","Analyze"
"ASR","Grupo Aeroportuario del Sureste ADRs","Industrials","US Equity","ADRs","Mid cap","$8,020,043,400","50,783","Analyze"
"PAC","Grupo Aeroportuario del Pacifico ADRs of Series B","Industrials","US Equity","ADRs","Mid cap","$7,591,664,721","79,493","Analyze"
"OMAB","Grupo Aeroportuario-OMA ADRs","Industrials","US Equity","ADRs","Mid cap","$3,656,342,804","68,517","Analyze"
"JOBY","Joby Aviation, Inc.","Industrials","US Equity","Common stocks","Mid cap","$2,432,626,272","2,720,615","Analyze"
"AAWW","Atlas Air Worldwide Holdings Inc","Industrials","US Equity","Common stocks","Small cap","$1,832,939,776","1,245,467","Analyze"
"CAAP","Corporacion America Airports SA","Industrials","US Equity","Common stocks","Small cap","$1,501,648,904","88,658","Analyze"
"ASLE","AerSale Corporation","Industrials","US Equity","Common stocks","Small cap","$822,508,355","295,049","Analyze"
"MIC","Macquarie Infrastructure Corp","Industrials","US Equity","Common stocks","Small cap","$363,950,090","1,945,092","Analyze"
"BLDE","Blade Air Mobility, Inc. - Class A","Industrials","US Equity","Common stocks","Micro cap","$226,912,197","401,736","Analyze"
"UP","Wheels Up Experience Inc. Class A","Industrials","US Equity","Common stocks","Micro cap","$167,287,266","1,500,125","Analyze"
