"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"BRK.A","Berkshire Hathaway Inc. Class A","Financials","US Equity","Common stocks","Large cap","$654,571,252,838","4,838","Analyze"
"BRK.B","Berkshire Hathaway Inc. Class B","Financials","US Equity","Common stocks","Large cap","$654,571,252,838","5,057,018","Analyze"
"AIG","American International Group Inc","Financials","US Equity","Common stocks","Large cap","$34,768,586,629","7,278,704","Analyze"
"SLF","Sun Life Financial Inc.","Financials","US Equity","Common stocks","Large cap","$26,176,765,383","807,137","Analyze"
"ACGL","Arch Capital Group Ltd","Financials","US Equity","Common stocks","Large cap","$24,350,490,925","2,663,297","Analyze"
"HIG","Hartford Financial Services Group","Financials","US Equity","Common stocks","Large cap","$20,596,026,280","3,811,512","Analyze"
"PFG","Principal Financial Group Inc","Financials","US Equity","Common stocks","Large cap","$17,323,599,805","3,764,298","Analyze"
"AEG","Aegon NV  ADRs","Financials","US Equity","ADRs","Mid cap","$8,775,229,753","3,104,029","Analyze"
"EQH","AXA Equitable Holdings Inc","Financials","US Equity","Common stocks","Mid cap","$8,679,815,879","4,609,352","Analyze"
"ORI","Old Republic International Corp","Financials","US Equity","Common stocks","Mid cap","$7,048,289,718","2,216,260","Analyze"
"ANAT","American National Insurance","Financials","US Equity","Common stocks","Mid cap","$5,081,412,096","350,783","Analyze"
"ESGR","Enstar Group Ltd","Financials","US Equity","Common stocks","Mid cap","$3,520,572,008","57,424","Analyze"
"GSHD","Goosehead Insurance Inc.","Financials","US Equity","Common stocks","Small cap","$1,131,049,723","341,659","Analyze"
"WDH","Waterdrop Inc. ADRs","Health Care","US Equity","ADRs","Small cap","$942,475,274","743,083","Analyze"
"IGIC","International General Insurance Holdings Ltd.","Financials","US Equity","Common stocks","Small cap","$416,141,104","54,482","Analyze"
"FGF","FG Financial Group, Inc.","Financials","US Equity","Common stocks","Micro cap","$21,512,352","3,228","Analyze"
