"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"O","Realty Income Corporation","Real Estate","US Equity","REITs","Large cap","$39,149,074,099","4,605,553","Analyze"
"SPG","Simon Property Group, Inc","Real Estate","US Equity","REITs","Large cap","$33,470,423,118","1,991,690","Analyze"
"KIM","Kimco Realty Corporation","Real Estate","US Equity","REITs","Large cap","$10,854,305,611","5,468,376","Analyze"
"REG","Regency Centers Corporation","Real Estate","US Equity","REITs","Mid cap","$9,711,446,382","1,009,493","Analyze"
"NNN","National Retail Properties, Inc","Real Estate","US Equity","REITs","Mid cap","$7,461,693,878","1,090,088","Analyze"
"FRT","Federal Realty Investment Trust","Real Estate","US Equity","REITs","Mid cap","$7,416,155,889","596,492","Analyze"
"BRX","Brixmor Property Group Inc","Real Estate","US Equity","REITs","Mid cap","$5,941,297,995","2,602,422","Analyze"
"ADC","Agree Realty Corporation","Real Estate","US Equity","REITs","Mid cap","$5,855,862,155","842,302","Analyze"
"KRG","Kite Realty Group Trust","Real Estate","US Equity","REITs","Mid cap","$4,168,889,704","1,658,404","Analyze"
"PECO","Phillips Edison & Company, Inc.","Real Estate","US Equity","REITs","Mid cap","$3,558,882,000","802,424","Analyze"
"EPR","EPR Properties","Real Estate","US Equity","REITs","Mid cap","$2,592,159,884","545,117","Analyze"
"SITC","SITE Centers Corp","Real Estate","US Equity","REITs","Mid cap","$2,375,115,336","2,265,880","Analyze"
"MAC","Macerich Company","Real Estate","US Equity","REITs","Small cap","$1,956,741,596","2,695,458","Analyze"
"SKT","Tanger Factory Outlet Centers, Inc","Real Estate","US Equity","REITs","Small cap","$1,927,986,624","1,172,983","Analyze"
"GTY","Getty Realty Corp","Real Estate","US Equity","REITs","Small cap","$1,584,270,503","500,996","Analyze"
"ROIC","Retail Opportunity Investments Corp","Real Estate","US Equity","REITs","Small cap","$1,567,592,718","1,465,572","Analyze"
"IVT","InvenTrust Properties Corp.","Real Estate","US Equity","Common stocks","Small cap","$1,460,106,047","323,233","Analyze"
"AKR","Acadia Realty Trust","Real Estate","US Equity","REITs","Small cap","$1,235,081,567","866,130","Analyze"
"NTST","NetSTREIT Corp.","Real Estate","US Equity","REITs","Small cap","$1,014,977,564","946,558","Analyze"
"ALX","Alexanders, Inc","Real Estate","US Equity","REITs","Small cap","$948,474,826","11,940","Analyze"
"BFS","Saul Centers, Inc","Real Estate","US Equity","REITs","Small cap","$866,151,679","47,209","Analyze"
"CBL","CBL & Associates Properties, Inc.","Real Estate","US Equity","REITs","Small cap","$774,592,697","190,052","Analyze"
"RPT","RPT Realty","Real Estate","US Equity","REITs","Small cap","$760,477,856","632,091","Analyze"
"UBA","Urstadt Biddle Properties Inc","Real Estate","US Equity","REITs","Small cap","$639,368,409","197,568","Analyze"
"UBP","Urstadt Biddle Properties Inc","Real Estate","US Equity","REITs","Small cap","$639,368,409","4,637","Analyze"
"SRG","Seritage Growth Properties","Real Estate","US Equity","REITs","Small cap","$436,143,143","1,103,446","Analyze"
"WSR","Whitestone REIT","Real Estate","US Equity","REITs","Small cap","$418,621,441","731,096","Analyze"
"CDR","Cedar Realty Trust, Inc","Real Estate","US Equity","REITs","Small cap","$395,570,846","497,980","Analyze"
"WHLR","Wheeler Real Estate Investment Trust, Inc","Real Estate","US Equity","REITs","Micro cap","$14,005,359","8,333","Analyze"
"PEI","Pennsylvania Real Estate Investment Trust","Real Estate","US Equity","REITs","Micro cap","$12,833,009","24,581","Analyze"
