"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"FOR","Forestar Group Inc","Real Estate","US Equity","Common stocks","Small cap","$735,140,637","97,580","Analyze"
"INDT","INDUS Realty Trust, Inc.","Real Estate","US Equity","Common stocks","Small cap","$672,425,592","211,954","Analyze"
"ARL","American Realty Investors Inc","Real Estate","US Equity","Common stocks","Small cap","$450,318,959","11,433","Analyze"
"IRS","IRSA Inversiones y Representaciones ADRs","Real Estate","US Equity","ADRs","Small cap","$431,396,347","67,360","Analyze"
"CTO","Consolidated Tomoka Land","Real Estate","US Equity","Common stocks","Small cap","$372,104,169","323,293","Analyze"
"LSEA","Landsea Homes Corporation","Consumer Discretionary","US Equity","Common stocks","Micro cap","$246,048,027","28,150","Analyze"
"MLP","Maui Land And Pineapple Inc","Real Estate","US Equity","Common stocks","Micro cap","$214,705,073","11,453","Analyze"
"FPH","Five Point Holdings, LLC Class A","Real Estate","US Equity","Common stocks","Micro cap","$146,937,398","81,535","Analyze"
"GGE","Green Giant Inc.","Real Estate","US Equity","Common stocks","Micro cap","$135,583,221","15,300","Analyze"
"HCDI","Harbor Custom Development, Inc.","Consumer Discretionary","US Equity","Common stocks","Micro cap","$78,065,432","197,747","Analyze"
"XIN","Xinyuan Real Estate ADRs","Real Estate","US Equity","ADRs","Micro cap","$39,701,904","3,322","Analyze"
"AEI","Alset EHome International Inc.","Real Estate","US Equity","Common stocks","Micro cap","$11,728,097","36,080","Analyze"
