"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"CRH","CRH PLC ADRs","Materials","US Equity","ADRs","Large cap","$36,799,934,631","718,613","Analyze"
"VMC","Vulcan Materials","Materials","US Equity","Common stocks","Large cap","$21,874,278,930","863,862","Analyze"
"MLM","Martin Marietta Materials Inc","Materials","US Equity","Common stocks","Large cap","$20,708,429,081","424,642","Analyze"
"JHX","James Hardie Industries ADRs","Materials","US Equity","ADRs","Mid cap","$9,247,094,381","74,407","Analyze"
"CX","Cemex SAB de CV ADRs","Materials","US Equity","ADRs","Mid cap","$7,674,692,174","7,941,269","Analyze"
"MDU","MDU Resources Group Inc","Industrials","US Equity","Common stocks","Mid cap","$5,835,860,773","1,393,690","Analyze"
"EXP","Eagle Materials Inc","Materials","US Equity","Common stocks","Mid cap","$5,013,429,222","342,823","Analyze"
"SUM","Summit Materials Inc Class A","Materials","US Equity","Common stocks","Mid cap","$3,229,527,933","835,730","Analyze"
"USLM","United States Lime And Minerals In","Materials","US Equity","Common stocks","Small cap","$838,189,699","3,952","Analyze"
"CPAC","Cementos Pacasmayo SAA ADRs","Materials","US Equity","ADRs","Small cap","$447,605,083","5,975","Analyze"
"CSCW","Color Star Technology Co. Ltd.","Information Technology","US Equity","Common stocks","Micro cap","$207,098,133","312,697","Analyze"
"SMID","Smith-Midland Corporation","Materials","US Equity","Common stocks","Micro cap","$98,257,911","7,456","Analyze"
"LOMA","Loma Negra Compania Industrial Argentina SA ADRs","Materials","US Equity","ADRs","Micro cap","$80,940,399","280,191","Analyze"
"RETO","Reto Eco-Solutions, Inc.","Materials","US Equity","Common stocks","Micro cap","$17,463,096","49,235","Analyze"
