"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"FNF","Fidelity National Financial Inc","Financials","US Equity","Common stocks","Mid cap","$8,990,994,402","2,807,874","Analyze"
"AIZ","Assurant Inc","Financials","US Equity","Common stocks","Mid cap","$5,942,886,914","496,093","Analyze"
"FAF","First American Financial Corp","Financials","US Equity","Common stocks","Mid cap","$5,493,912,702","1,001,875","Analyze"
"RYAN","Ryan Specialty Group Holdings, Inc.","Financials","US Equity","Common stocks","Mid cap","$4,315,334,440","1,083,842","Analyze"
"MTG","MGIC Investment Corp","Financials","US Equity","Common stocks","Mid cap","$3,595,503,864","4,809,520","Analyze"
"ACT","Enact Holdings, Inc.","Financials","US Equity","Common stocks","Mid cap","$3,530,260,613","136,261","Analyze"
"RDN","Radian Group Inc","Financials","US Equity","Common stocks","Mid cap","$3,231,886,600","5,219,347","Analyze"
"AGO","Assured Guaranty Ltd","Financials","US Equity","Common stocks","Mid cap","$2,741,322,574","380,177","Analyze"
"TRUP","Trupanion Inc","Financials","US Equity","Common stocks","Small cap","$1,689,614,006","543,439","Analyze"
"EIG","Employers Holdings Inc","Financials","US Equity","Common stocks","Small cap","$1,119,047,647","220,946","Analyze"
"AMSF","Amerisafe Inc","Financials","US Equity","Common stocks","Small cap","$927,335,812","99,042","Analyze"
"JRVR","James River Group Holdings Ltd","Financials","US Equity","Common stocks","Small cap","$764,197,987","237,251","Analyze"
"AMBC","Ambac Financial Group Inc","Financials","US Equity","Common stocks","Small cap","$655,304,511","621,064","Analyze"
"TIPT","Tiptree Inc Class A","Financials","US Equity","Common stocks","Small cap","$511,350,476","99,520","Analyze"
"MBI","MBIA Inc.","Financials","US Equity","Common stocks","Small cap","$443,640,213","682,222","Analyze"
"HIPO","Hippo Holdings Inc.","Financials","US Equity","Common stocks","Small cap","$347,016,274","130,017","Analyze"
"TIG","Trean Insurance Group, Inc.","Financials","US Equity","Common stocks","Small cap","$313,577,894","152,284","Analyze"
"ITIC","Investors Title","Financials","US Equity","Common stocks","Micro cap","$279,701,335","3,230","Analyze"
"ICCH","ICC  Holdings Inc.","Financials","US Equity","Common stocks","Micro cap","$51,636,553","1,963","Analyze"
