"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"SCCO","Southern Copper Corp","Materials","US Equity","Common stocks","Large cap","$55,168,535,100","1,506,494","Analyze"
"FCX","Freeport-McMoRan, Inc.","Materials","US Equity","Common stocks","Large cap","$54,065,914,507","15,339,552","Analyze"
"TRQ","Turquoise Hill Resources Ltd","Materials","US Equity","Common stocks","Mid cap","$6,320,679,719","4,940,361","Analyze"
"ERO","Ero Copper Corp.","Materials","US Equity","Common stocks","Small cap","$1,522,294,950","137,100","Analyze"
"HBM","Hudbay Minerals Inc","Consumer Discretionary","US Equity","Common stocks","Small cap","$1,281,305,580","2,631,187","Analyze"
