"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"RELX","RELX PLC ADRs","Industrials","US Equity","ADRs","Large cap","$60,208,926,254","903,480","Analyze"
"PSO","Pearson PLC ADRs","Consumer Discretionary","US Equity","ADRs","Mid cap","$7,139,680,329","646,050","Analyze"
"NYT","New York Times Class A","Communication Services","US Equity","Common stocks","Mid cap","$6,172,344,544","1,080,532","Analyze"
"WLY","John Wiley & Sons, Inc. Class A","Communication Services","US Equity","Common stocks","Mid cap","$2,027,711,128","325,900","Analyze"
"WLYB","John Wiley & Sons, Inc. Class B","Communication Services","US Equity","Common stocks","Mid cap","$2,027,711,128","629","Analyze"
"SCHL","Scholastic Corp","Communication Services","US Equity","Common stocks","Small cap","$1,336,899,923","217,791","Analyze"
"DJCO","Daily Journal Corp","Communication Services","US Equity","Common stocks","Small cap","$377,305,124","4,195","Analyze"
"GCI","Gannett Inc","Communication Services","US Equity","Common stocks","Micro cap","$271,130,338","1,177,657","Analyze"
"LEE","Lee Enterprises Inc","Communication Services","US Equity","Common stocks","Micro cap","$75,840,089","24,668","Analyze"
"EDUC","Educational Development Corp","Consumer Discretionary","US Equity","Common stocks","Micro cap","$25,181,405","4,600","Analyze"
"DALN","DallasNews Corporation - Series A","Communication Services","US Equity","Common stocks","Micro cap","$19,803,887","6,700","Analyze"
"IDW","IDW Media Holdings Class B","Communication Services","US Equity","Common stocks","Micro cap","$9,938,265","42,894","Analyze"
