"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"FWONA","Liberty Media Formula One Corp Series A","Communication Services","US Equity","Common stocks","Large cap","$26,641,215,526","969,335","Analyze"
"FWONK","Liberty Media Formula One Corp Series C","Communication Services","US Equity","Common stocks","Large cap","$26,641,215,526","1,043,069","Analyze"
"LSXMA","Liberty Media Liberty Siriusxm Series A","Communication Services","US Equity","Common stocks","Large cap","$26,641,215,526","3,041,164","Analyze"
"LSXMB","Liberty Media Liberty Siriusxm Series B","Consumer Discretionary","US Equity","Common stocks","Large cap","$26,641,215,526","4,248","Analyze"
"LSXMK","Liberty Media Liberty Siriusxm Series C","Communication Services","US Equity","Common stocks","Large cap","$26,641,215,526","1,757,960","Analyze"
"FOX","Fox Corporation Class B","Communication Services","US Equity","Common stocks","Large cap","$17,342,790,217","1,498,578","Analyze"
"FOXA","Fox Corporation Class A","Communication Services","US Equity","Common stocks","Large cap","$17,342,790,217","3,514,753","Analyze"
"SIRI","Sirius Xm Holdings Inc","Communication Services","US Equity","Common stocks","Large cap","$14,044,706,596","20,447,391","Analyze"
"NWS","News Corp Class B","Communication Services","US Equity","Common stocks","Mid cap","$9,329,303,083","1,050,424","Analyze"
"NWSA","News Corp Class A","Communication Services","US Equity","Common stocks","Mid cap","$9,329,303,083","3,245,049","Analyze"
"NXST","Nexstar Media Group Inc","Communication Services","US Equity","Common stocks","Mid cap","$5,910,007,704","561,605","Analyze"
"TGNA","Tegna Inc","Communication Services","US Equity","Common stocks","Mid cap","$3,500,832,197","2,386,977","Analyze"
"TV","Grupo Televisa SAB ADRs","Communication Services","US Equity","ADRs","Mid cap","$2,225,388,859","2,118,304","Analyze"
"GTN","Gray Television Inc","Communication Services","US Equity","Common stocks","Small cap","$788,001,796","900,614","Analyze"
"GTN.A","Gray Television Inc. Class A","Communication Services","US Equity","Common stocks","Small cap","$788,001,796","1,632","Analyze"
"SBGI","Sinclair Broadcast Group Inc Class A","Communication Services","US Equity","Common stocks","Small cap","$653,875,874","982,979","Analyze"
"SSP","Ew Scripps Class A","Communication Services","US Equity","Common stocks","Small cap","$643,553,838","389,303","Analyze"
"AMCX","AMC Networks Class A","Communication Services","US Equity","Common stocks","Small cap","$510,381,995","556,497","Analyze"
"IHRT","iHeartMedia, Inc. - Class A","Communication Services","US Equity","Common stocks","Small cap","$506,603,124","1,357,903","Analyze"
"EVC","Entravision Communications Corp Cl","Communication Services","US Equity","Common stocks","Small cap","$452,116,947","641,222","Analyze"
"UONE","Urban One Inc Class A","Communication Services","US Equity","Common stocks","Micro cap","$244,643,934","43,247","Analyze"
"UONEK","Urban One Inc Class D","Communication Services","US Equity","Common stocks","Micro cap","$244,643,934","52,621","Analyze"
"FUBO","FuboTV Inc.","Communication Services","US Equity","Common stocks","Micro cap","$218,082,756","14,215,791","Analyze"
"SJ","Scienjoy Holding Corporation","Communication Services","US Equity","Common stocks","Micro cap","$147,225,135","41,139","Analyze"
"SGA","Saga Communications Inc Class A","Communication Services","US Equity","Common stocks","Micro cap","$139,677,696","9,087","Analyze"
"CMLS","Cumulus Media Inc.","Communication Services","US Equity","Common stocks","Micro cap","$67,742,284","297,235","Analyze"
"GSMG","Glory Star New Media Group Holdings Limited","Communication Services","US Equity","Common stocks","Micro cap","$47,687,081","88,868","Analyze"
"SALM","Salem Media Group Inc Class A","Communication Services","US Equity","Common stocks","Micro cap","$21,879,722","35,400","Analyze"
"MDIA","Mediaco Holding Inc. - Class A","Communication Services","US Equity","Common stocks","Micro cap","$19,067,457","14,129","Analyze"
"CSSE","Chicken Soup For The Soul Entertainment Inc. Class A","Communication Services","US Equity","Common stocks","Micro cap","$17,355,152","152,524","Analyze"
"AUD","Audacy","Communication Services","US Equity","Common stocks","Micro cap","$15,119,611","1,802,723","Analyze"
"BBGI","Beasley Broadcast Group Inc Class A","Communication Services","US Equity","Common stocks","Micro cap","$11,263,308","25,481","Analyze"
