"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"VICI","VICI Properties Inc","Real Estate","US Equity","REITs","Large cap","$30,186,399,835","8,153,038","Analyze"
"WPC","W. P. Carey Inc","Real Estate","US Equity","REITs","Large cap","$15,840,878,439","1,010,052","Analyze"
"STOR","STORE Capital Corporation","Real Estate","US Equity","REITs","Mid cap","$9,105,309,521","8,974,018","Analyze"
"SRC","Spirit Realty Capital, Inc","Real Estate","US Equity","REITs","Mid cap","$5,263,590,241","1,114,941","Analyze"
"PSB","PS Business Parks, Inc","Real Estate","US Equity","REITs","Mid cap","$5,178,487,916","3,391,179","Analyze"
"EPRT","Essential Properties Realty Trust Inc.","Real Estate","US Equity","Common stocks","Mid cap","$3,335,948,952","1,046,328","Analyze"
"BNL","Broadstone Net Lease, Inc.","Real Estate","US Equity","REITs","Mid cap","$3,038,489,293","1,028,841","Analyze"
"LXP","Lexington Realty Trust","Real Estate","US Equity","REITs","Mid cap","$2,750,009,001","2,231,358","Analyze"
"SAFE","Safehold Inc.","Real Estate","US Equity","REITs","Small cap","$1,769,590,718","322,582","Analyze"
"DBRG","DigitalBridge Group, Inc.","Real Estate","US Equity","REITs","Small cap","$1,651,320,372","1,809,548","Analyze"
"UE","Urban Edge Properties","Real Estate","US Equity","REITs","Small cap","$1,609,415,689","1,254,640","Analyze"
"ALEX","Alexander & Baldwin, Inc","Real Estate","US Equity","REITs","Small cap","$1,266,761,339","352,694","Analyze"
"AAT","American Assets Trust, Inc","Real Estate","US Equity","REITs","Small cap","$1,000,629,921","1,008,548","Analyze"
"ESRT","Empire State Realty Trust, Inc","Real Estate","US Equity","REITs","Small cap","$935,390,842","1,984,128","Analyze"
"RTL","The Necessity Retail REIT, Inc. - Class A","Real Estate","US Equity","REITs","Small cap","$771,789,800","754,040","Analyze"
"AHH","Armada Hoffler Properties, Inc","Real Estate","US Equity","REITs","Small cap","$739,434,554","412,475","Analyze"
"STAR","iStar Inc.","Real Estate","US Equity","Mortgage REITs","Small cap","$594,826,806","1,760,850","Analyze"
"GOOD","Gladstone Commercial Corporation","Real Estate","US Equity","REITs","Small cap","$477,406,112","421,578","Analyze"
"OLP","One Liberty Properties, Inc","Real Estate","US Equity","REITs","Small cap","$467,656,041","62,012","Analyze"
"BRDG","Bridge Investment Group Holdings Inc.","Financials","US Equity","REITs","Small cap","$374,101,633","151,390","Analyze"
"PINE","Alpine Income Property Trust, Inc.","Real Estate","US Equity","REITs","Micro cap","$223,618,359","140,586","Analyze"
"NREF","NexPoint Real Estate Finance, Inc.","Financials","US Equity","Mortgage REITs","Micro cap","$216,307,720","46,024","Analyze"
"ESBA","Empire State Realty Op L.P. Series ES Operating Partnership Units","Real Estate","US Equity","Common stocks","Micro cap","$128,029,931","8,014","Analyze"
"CLPR","Clipper Realty Inc","Real Estate","US Equity","REITs","Micro cap","$91,721,032","62,499","Analyze"
"OGCP","Empire State Realty Op L.P. Series 60 Operating Partnership Units","Real Estate","US Equity","Common stocks","Micro cap","$33,805,442","2,392","Analyze"
"CORR","CorEnergy Infrastructure Trust, Inc","Real Estate","US Equity","REITs","Micro cap","$19,881,753","84,752","Analyze"
"FISK","Empire State Realty Op L.P. Series 250 Operating Partnership Units","Real Estate","US Equity","Common stocks","Micro cap","$17,730,564","1,744","Analyze"
"MDRR","Medalist Diversified REIT, Inc","Real Estate","US Equity","REITs","Micro cap","$14,560,129","28,494","Analyze"
"SQFT","Presidio Property Trust, Inc.","Real Estate","US Equity","REITs","Micro cap","$13,061,330","20,813","Analyze"
"GIPR","Generation Income Properties Inc","Real Estate","US Equity","Common stocks","Micro cap","$12,232,801","4,751","Analyze"
