"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"TJX","TJX Companies, Inc.","Consumer Discretionary","US Equity","Common stocks","Large cap","$86,235,274,640","5,118,677","Analyze"
"LULU","Lululemon Athletica Inc","Consumer Discretionary","US Equity","Common stocks","Large cap","$37,725,750,739","1,775,236","Analyze"
"ROST","Ross Stores Inc","Consumer Discretionary","US Equity","Common stocks","Large cap","$34,998,425,645","2,665,827","Analyze"
"BURL","Burlington Stores Inc","Consumer Discretionary","US Equity","Common stocks","Large cap","$13,233,187,165","1,173,358","Analyze"
"ONON","On Holding AG","Consumer Discretionary","US Equity","Common stocks","Mid cap","$8,624,786,161","5,871,434","Analyze"
"GPS","Gap Inc","Consumer Discretionary","US Equity","Common stocks","Mid cap","$3,237,311,737","11,136,677","Analyze"
"CRI","Carters Inc","Consumer Discretionary","US Equity","Common stocks","Mid cap","$2,639,167,668","851,306","Analyze"
"AEO","American Eagle Outfitters Inc","Consumer Discretionary","US Equity","Common stocks","Mid cap","$2,477,695,344","4,665,061","Analyze"
"VSCO","Victorias Secret & Co.","Consumer Discretionary","US Equity","Common stocks","Mid cap","$2,382,139,217","2,062,508","Analyze"
"URBN","Urban Outfitters Inc","Consumer Discretionary","US Equity","Common stocks","Mid cap","$2,380,899,623","1,885,211","Analyze"
"BOOT","Boot Barn Holdings Inc","Consumer Discretionary","US Equity","Common stocks","Mid cap","$2,191,706,090","592,625","Analyze"
"BKE","Buckle Inc","Consumer Discretionary","US Equity","Common stocks","Small cap","$1,718,651,922","545,432","Analyze"
"ANF","Abercrombie And Fitch","Consumer Discretionary","US Equity","Common stocks","Small cap","$1,206,422,888","1,835,898","Analyze"
"GES","Guess Inc","Consumer Discretionary","US Equity","Common stocks","Small cap","$988,228,605","1,063,940","Analyze"
"CHS","Chicos FAS Inc","Consumer Discretionary","US Equity","Common stocks","Small cap","$681,627,783","2,826,395","Analyze"
"GIII","G-III Apparel Group, LTD.","Consumer Discretionary","US Equity","Common stocks","Small cap","$680,042,466","776,638","Analyze"
"SCVL","Shoe Carnival Inc","Consumer Discretionary","US Equity","Common stocks","Small cap","$666,114,611","416,390","Analyze"
"DBI","Designer Brands Inc. Class A","Consumer Discretionary","US Equity","Common stocks","Small cap","$476,444,117","2,306,721","Analyze"
"PLCE","Childrens Place Inc","Consumer Discretionary","US Equity","Common stocks","Small cap","$457,441,549","705,232","Analyze"
"GCO","Genesco Inc","Consumer Discretionary","US Equity","Common stocks","Small cap","$438,827,175","256,319","Analyze"
"ZUMZ","Zumiez Inc","Consumer Discretionary","US Equity","Common stocks","Small cap","$340,872,807","656,191","Analyze"
"DXLG","Destination XL Group, Inc","Consumer Discretionary","US Equity","Common stocks","Small cap","$324,371,129","1,068,189","Analyze"
"CURV","Torrid Holdings Inc.","Consumer Discretionary","US Equity","Common stocks","Micro cap","$246,709,948","108,497","Analyze"
"JILL","J Jill Inc","Consumer Discretionary","US Equity","Common stocks","Micro cap","$237,656,869","66,630","Analyze"
"DLTH","Duluth Holdings Inc Class B","Consumer Discretionary","US Equity","Common stocks","Micro cap","$173,756,401","127,734","Analyze"
"BIRD","Allbirds, Inc.","Consumer Discretionary","US Equity","Common stocks","Micro cap","$170,943,942","2,475,707","Analyze"
"CATO","Cato Corp Class A","Consumer Discretionary","US Equity","Common stocks","Micro cap","$167,373,781","119,557","Analyze"
"RENT","Rent the Runway, Inc.","Consumer Discretionary","US Equity","Common stocks","Micro cap","$166,663,082","829,081","Analyze"
"TLYS","Tillys Inc Class A","Consumer Discretionary","US Equity","Common stocks","Micro cap","$161,142,846","236,459","Analyze"
"CTRN","Citi Trends Inc","Consumer Discretionary","US Equity","Common stocks","Micro cap","$153,587,949","103,967","Analyze"
"LVLU","Lulus Fashion Lounge Holdings, Inc.","Consumer Discretionary","US Equity","Common stocks","Micro cap","$92,919,291","118,930","Analyze"
"EXPR","Express Inc","Consumer Discretionary","US Equity","Common stocks","Micro cap","$58,060,915","1,352,449","Analyze"
"DBGI","Digital Brands Group, Inc.","Consumer Discretionary","US Equity","Common stocks","Micro cap","$6,665,452","575,724","Analyze"
