"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"NKE","Nike Inc Class B","Consumer Discretionary","US Equity","Common stocks","Large cap","$188,713,200,000","7,645,020","Analyze"
"DECK","Deckers Outdoor Corp","Consumer Discretionary","US Equity","Common stocks","Large cap","$11,657,118,258","379,578","Analyze"
"CROX","Crocs Inc","Consumer Discretionary","US Equity","Common stocks","Mid cap","$7,464,549,364","1,574,794","Analyze"
"SKX","Skechers USA Inc","Consumer Discretionary","US Equity","Common stocks","Mid cap","$5,978,696,790","1,528,457","Analyze"
"FL","Foot Locker Inc","Consumer Discretionary","US Equity","Common stocks","Mid cap","$3,520,979,711","3,271,148","Analyze"
"SHOO","Steven Madden Ltd","Consumer Discretionary","US Equity","Common stocks","Mid cap","$2,674,681,606","1,121,193","Analyze"
"WWW","Wolverine World Wide Inc","Consumer Discretionary","US Equity","Common stocks","Small cap","$1,264,387,351","1,216,145","Analyze"
"CAL","Caleres Inc","Consumer Discretionary","US Equity","Common stocks","Small cap","$747,224,624","823,912","Analyze"
"WEYS","Weyco Group Inc","Consumer Discretionary","US Equity","Common stocks","Micro cap","$232,262,136","13,378","Analyze"
"VRA","Vera Bradley Inc","Consumer Discretionary","US Equity","Common stocks","Micro cap","$183,093,755","399,716","Analyze"
"RCKY","Rocky Brands Inc","Consumer Discretionary","US Equity","Common stocks","Micro cap","$167,421,038","21,880","Analyze"
"FORD","Forward Industries Inc","Consumer Discretionary","US Equity","Common stocks","Micro cap","$10,362,014","20,780","Analyze"
"AREB","American Rebel Holdings Inc.","Consumer Discretionary","US Equity","Common stocks","Micro cap","$803,347","313,056","Analyze"
