"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"GIS","General Mills Inc","Consumer Staples","US Equity","Common stocks","Large cap","$48,436,520,402","3,435,601","Analyze"
"KHC","Kraft Heinz","Consumer Staples","US Equity","Common stocks","Large cap","$45,839,626,367","6,592,168","Analyze"
"K","Kellogg","Consumer Staples","US Equity","Common stocks","Large cap","$21,971,106,000","2,547,161","Analyze"
"HRL","Hormel Foods Corp","Consumer Staples","US Equity","Common stocks","Large cap","$20,740,924,428","2,736,942","Analyze"
"MKC","McCormick & Co  Non-voting","Consumer Staples","US Equity","Common stocks","Large cap","$19,102,006,800","1,613,448","Analyze"
"MKC.V","McCormick & Co Voting","Consumer Staples","US Equity","Common stocks","Large cap","$19,102,006,800","2,177","Analyze"
"CAG","Conagra Brands Inc","Consumer Staples","US Equity","Common stocks","Large cap","$17,430,084,862","4,862,214","Analyze"
"SJM","J.M. Smucker","Consumer Staples","US Equity","Common stocks","Large cap","$16,111,647,291","1,076,479","Analyze"
"CPB","Campbell Soup","Consumer Staples","US Equity","Common stocks","Large cap","$16,021,965,519","2,736,081","Analyze"
"LW","Lamb Weston Holdings Inc","Consumer Staples","US Equity","Common stocks","Large cap","$14,211,536,880","1,388,055","Analyze"
"DAR","Darling Ingredients Inc","Consumer Staples","US Equity","Common stocks","Mid cap","$8,806,593,284","1,977,410","Analyze"
"INGR","Ingredion Inc","Consumer Staples","US Equity","Common stocks","Mid cap","$6,464,879,596","352,146","Analyze"
"FLO","Flowers Foods Inc","Consumer Staples","US Equity","Common stocks","Mid cap","$5,679,065,979","2,443,677","Analyze"
"LANC","Lancaster Colony Corp","Consumer Staples","US Equity","Common stocks","Mid cap","$5,638,269,500","147,217","Analyze"
"POST","Post Holdings Inc","Consumer Staples","US Equity","Common stocks","Mid cap","$5,130,963,114","513,009","Analyze"
"PPC","Pilgrims Pride Corp","Consumer Staples","US Equity","Common stocks","Mid cap","$5,046,256,249","943,175","Analyze"
"BRBR","BellRing Brands, Inc. Class A","Consumer Staples","US Equity","Common stocks","Mid cap","$4,263,663,886","803,240","Analyze"
"SAFM","Sanderson Farms Inc","Consumer Staples","US Equity","Common stocks","Mid cap","$4,211,029,504","521,765","Analyze"
"SMPL","The Simply Good Foods Company","Consumer Staples","US Equity","Common stocks","Mid cap","$3,685,159,863","620,053","Analyze"
