"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"PLD","Prologis, Inc","Real Estate","US Equity","REITs","Large cap","$105,409,420,350","3,671,706","Analyze"
"PSA","Public Storage","Real Estate","US Equity","REITs","Large cap","$49,616,475,633","1,123,812","Analyze"
"EXR","Extra Space Storage Inc","Real Estate","US Equity","REITs","Large cap","$20,149,216,174","1,067,659","Analyze"
"DRE","Duke Realty Corporation","Real Estate","US Equity","REITs","Large cap","$18,556,648,911","41,470,245","Analyze"
"REXR","Rexford Industrial Realty, Inc","Real Estate","US Equity","REITs","Large cap","$10,680,681,205","1,564,465","Analyze"
"LSI","Life Storage, Inc","Real Estate","US Equity","REITs","Large cap","$10,454,917,937","1,254,149","Analyze"
"CUBE","CubeSmart","Real Estate","US Equity","REITs","Mid cap","$9,917,478,385","2,112,386","Analyze"
"COLD","Americold Realty Trust","Real Estate","US Equity","REITs","Mid cap","$7,303,407,548","1,981,111","Analyze"
"EGP","EastGroup Properties, Inc","Real Estate","US Equity","REITs","Mid cap","$6,677,752,942","268,266","Analyze"
"FR","First Industrial Realty Trust, Inc","Real Estate","US Equity","REITs","Mid cap","$6,536,529,984","819,789","Analyze"
"STAG","STAG Industrial, Inc","Real Estate","US Equity","REITs","Mid cap","$5,714,819,670","1,334,362","Analyze"
"TRNO","Terreno Realty Corporation","Real Estate","US Equity","REITs","Mid cap","$4,928,992,152","479,165","Analyze"
"NSA","National Storage Affiliates Trust","Real Estate","US Equity","REITs","Mid cap","$3,480,375,377","966,753","Analyze"
"IIPR","Innovative Industrial Properties, Inc","Real Estate","US Equity","REITs","Mid cap","$2,075,847,490","332,629","Analyze"
"PLYM","Plymouth Industrial REIT, Inc.","Real Estate","US Equity","Common stocks","Small cap","$834,798,762","181,610","Analyze"
"LAND","Gladstone Land Corporation","Real Estate","US Equity","REITs","Small cap","$537,138,289","249,535","Analyze"
"ILPT","Industrial Logistics Properties Trust","Real Estate","US Equity","REITs","Micro cap","$181,618,826","3,135,547","Analyze"
"SELF","Global Self Storage, Inc","Real Estate","US Equity","REITs","Micro cap","$56,299,500","30,902","Analyze"
