"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"CSGP","Costar Group Inc","Industrials","US Equity","Common stocks","Large cap","$26,785,964,581","2,568,349","Analyze"
"BEKE","KE Holdings Inc ADRs of Class A","Real Estate","US Equity","ADRs","Large cap","$22,525,740,140","8,732,501","Analyze"
"CBRE","CBRE Group Inc","Real Estate","US Equity","Common stocks","Large cap","$21,354,656,755","1,939,571","Analyze"
"JLL","Jones Lang LaSalle Inc","Real Estate","US Equity","Common stocks","Mid cap","$6,530,984,933","388,225","Analyze"
"FSV","Firstservice Corporation","Real Estate","US Equity","Common stocks","Mid cap","$5,924,767,992","63,005","Analyze"
"CIGI","Colliers International Group Inc.","Real Estate","US Equity","Common stocks","Mid cap","$4,323,302,478","76,121","Analyze"
"CWK","Cushman & Wakefield Plc","Real Estate","US Equity","Common stocks","Mid cap","$2,206,046,958","2,468,265","Analyze"
"KW","Kennedy Wilson Holdings Inc","Real Estate","US Equity","Common stocks","Mid cap","$2,188,158,603","3,517,166","Analyze"
"TCN","Tricon Residential Inc.","Real Estate","US Equity","Common stocks","Mid cap","$2,018,770,231","1,903,027","Analyze"
"EXPI","eXp World Holdings Inc.","Real Estate","US Equity","Common stocks","Small cap","$1,759,179,641","1,089,017","Analyze"
"RLGY","Realogy Holdings Corp","Real Estate","US Equity","Common stocks","Small cap","$1,367,088,000","1,141,740","Analyze"
"MMI","Marcus & Millichap Inc","Real Estate","US Equity","Common stocks","Small cap","$1,162,495,205","203,370","Analyze"
"OPEN","Opendoor Technologies Inc","Real Estate","US Equity","Common stocks","Small cap","$1,092,352,389","24,795,736","Analyze"
"NMRK","Newmark Group Inc. Class A","Real Estate","US Equity","Common stocks","Small cap","$983,211,723","1,132,125","Analyze"
"RDFN","Redfin Corporation","Real Estate","US Equity","Common stocks","Small cap","$909,703,324","2,974,809","Analyze"
"PGRU","PropertyGuru Group Limited","Real Estate","US Equity","Common stocks","Small cap","$786,329,656","22,731","Analyze"
"CSR","Centerspace","Real Estate","US Equity","REITs","Small cap","$779,114,381","106,734","Analyze"
"WE","WeWork Inc. Class A","Real Estate","US Equity","Common stocks","Small cap","$601,847,822","9,796,739","Analyze"
"FRPH","FRP Holdings Inc","Real Estate","US Equity","Common stocks","Small cap","$523,906,869","12,697","Analyze"
"QK","Q&K International Group Limited ADRs","Real Estate","US Equity","ADRs","Small cap","$396,197,096","6,375","Analyze"
"RMR","RMR Group Inc Class A","Real Estate","US Equity","Common stocks","Small cap","$384,932,474","114,414","Analyze"
"TCI","Transcontinental Realty Investors","Real Estate","US Equity","Common stocks","Small cap","$364,665,528","6,820","Analyze"
"IRCP","IRSA Propiedades Comerciales ADRs","Real Estate","US Equity","ADRs","Small cap","$316,625,376","7,811","Analyze"
"RMAX","Re Max Holdings Inc Class A","Real Estate","US Equity","Common stocks","Small cap","$307,032,139","184,044","Analyze"
"DOUG","Douglas Elliman Inc.","Real Estate","US Equity","Common stocks","Micro cap","$253,248,066","695,850","Analyze"
"CIAN","Cian PLC ADRs","Real Estate","US Equity","ADRs","Micro cap","$237,563,137","554,042","Analyze"
"REAX","The Real Brokerage, Inc.","Real Estate","US Equity","Common stocks","Micro cap","$205,156,363","55,806","Analyze"
"NTP","Nam Tai Property Inc","Real Estate","US Equity","Common stocks","Micro cap","$166,061,344","25,624","Analyze"
"LEJU","Leju Holdings ADRs","Real Estate","US Equity","ADRs","Micro cap","$150,504,861","2,945","Analyze"
"OPAD","Offerpad Solutions Inc. Class A","Real Estate","US Equity","Common stocks","Micro cap","$119,867,511","592,850","Analyze"
"DOMA","Doma Holdings, Inc.","Real Estate","US Equity","Common stocks","Micro cap","$118,851,115","970,651","Analyze"
"MAYS","Jw Mays Inc","Real Estate","US Equity","Common stocks","Micro cap","$95,547,972","562","Analyze"
"FTHM","Fathom Holdings Inc.","Real Estate","US Equity","Common stocks","Micro cap","$77,518,602","41,984","Analyze"
"AXR","Amrep Corp","Real Estate","US Equity","Common stocks","Micro cap","$71,098,919","7,203","Analyze"
"MDJH","MDJM LTD","Real Estate","US Equity","Common stocks","Micro cap","$17,512,824","3,451","Analyze"
"GYRO","Gyrodyne  Llc","Real Estate","US Equity","Common stocks","Micro cap","$12,233,000","657","Analyze"
"DUO","Fangdd Network Group Ltd. ADRs","Communication Services","US Equity","ADRs","Micro cap","$5,097,182","138,754","Analyze"
"UK","Ucommune International Ltd","Real Estate","US Equity","Common stocks","Micro cap","$4,057,150","216,419","Analyze"
