"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"TMUS","T Mobile US Inc","Communication Services","US Equity","Common stocks","Large cap","$173,518,216,553","5,926,447","Analyze"
"VZ","Verizon Communications Inc","Communication Services","US Equity","Common stocks","Large cap","$156,949,625,356","22,666,945","Analyze"
"T","AT&T Inc.","Communication Services","US Equity","Common stocks","Large cap","$131,619,800,000","31,227,068","Analyze"
"AMX","America Movil SAB de CV ADRs Series L","Communication Services","US Equity","ADRs","Large cap","$68,886,962,176","1,751,582","Analyze"
"AMOV","America Movil - Series A ADRs","Communication Services","US Equity","ADRs","Large cap","$44,956,246,605","2,140","Analyze"
"BCE","BCE, Inc.","Communication Services","US Equity","Common stocks","Large cap","$40,070,498,528","1,406,658","Analyze"
"ORAN","Orange SA ADRs","Communication Services","US Equity","ADRs","Large cap","$31,229,064,472","506,042","Analyze"
"CHT","Chunghwa Telecom Co Ltd ADRs","Communication Services","US Equity","ADRs","Large cap","$30,479,007,495","152,417","Analyze"
"VOD","Vodacom Group Ltd ADRs","Communication Services","US Equity","ADRs","Large cap","$29,819,922,394","9,924,835","Analyze"
"TU","Telus Corporation","Communication Services","US Equity","Common stocks","Large cap","$28,506,118,469","1,730,926","Analyze"
"TLK","Telekomunikasi Indonesia Persero Tbk PT ADRs","Communication Services","US Equity","ADRs","Large cap","$26,756,704,704","279,581","Analyze"
"TEF","Telefonica SA ADRs","Communication Services","US Equity","ADRs","Large cap","$23,620,721,596","902,142","Analyze"
"RCI","Rogers Communication","Communication Services","US Equity","Common stocks","Large cap","$17,948,187,287","253,679","Analyze"
"ZM","Zoom Video Communications, Inc. - Class A","Information Technology","US Equity","Common stocks","Large cap","$17,101,456,155","4,837,970","Analyze"
"SJR","Shaw Communications Inc. (Class B)","Consumer Discretionary","US Equity","Common stocks","Large cap","$13,582,707,788","920,407","Analyze"
