"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"ATVI","Activision Blizzard Inc","Communication Services","US Equity","Common stocks","Large cap","$62,490,962,360","6,074,073","Analyze"
"SE","Sea Limited ADRs","Communication Services","US Equity","ADRs","Large cap","$34,284,808,043","8,682,916","Analyze"
"EA","Electronic Arts Inc","Communication Services","US Equity","Common stocks","Large cap","$32,036,350,353","2,782,676","Analyze"
"RBLX","Roblox Corp","Communication Services","US Equity","Common stocks","Large cap","$23,298,286,824","12,352,417","Analyze"
"TTWO","Take Two Interactive Software Inc","Communication Services","US Equity","Common stocks","Large cap","$19,815,883,667","1,892,749","Analyze"
"ZNGA","Zynga Inc","Communication Services","US Equity","Common stocks","Mid cap","$9,302,868,992","227,699,379","Analyze"
"BILI","Bilibili Inc. ADRs","Communication Services","US Equity","ADRs","Mid cap","$7,901,950,320","9,628,338","Analyze"
"PLTK","Playtika Holding Corp.","Communication Services","US Equity","Common stocks","Mid cap","$3,955,894,417","1,536,577","Analyze"
"AVID","Avid Technology Inc","Information Technology","US Equity","Common stocks","Small cap","$1,276,988,217","264,537","Analyze"
"GDEV","Nexters Inc.","Communication Services","US Equity","Common stocks","Small cap","$678,004,698","25,715","Analyze"
"MYPS","PLAYSTUDIOS, Inc.  - Class A","Communication Services","US Equity","Common stocks","Small cap","$421,860,847","400,301","Analyze"
"DDI","DoubleDown Interactive Co., Ltd. ADRs","Communication Services","US Equity","ADRs","Small cap","$390,481,107","9,490","Analyze"
"NGMS","NeoGames S.A.","Consumer Discretionary","US Equity","Common stocks","Small cap","$375,482,321","136,284","Analyze"
"GRVY","Gravity ADRs","Information Technology","US Equity","ADRs","Small cap","$368,430,678","13,148","Analyze"
"SCPL","SciPlay Corporation - Class A","Communication Services","US Equity","Common stocks","Small cap","$360,398,302","617,305","Analyze"
"INSE","Inspired Entertainment Inc","Consumer Discretionary","US Equity","Common stocks","Small cap","$325,975,581","201,731","Analyze"
"SKLZ","Skillz Inc. Class A","Communication Services","US Equity","Common stocks","Micro cap","$181,488,632","8,208,132","Analyze"
"EGLX","Enthusiast Gaming Holdings Inc.","Communication Services","US Equity","Common stocks","Micro cap","$89,542,673","216,538","Analyze"
"GMGI","Golden Matrix Group, Inc.","Communication Services","US Equity","Common stocks","Micro cap","$85,555,877","34,932","Analyze"
"BRAG","Bragg Gaming Group Inc.","Communication Services","US Equity","Common stocks","Micro cap","$81,631,600","5,602","Analyze"
"RNWK","Realnetworks Inc","Information Technology","US Equity","Common stocks","Micro cap","$26,850,014","279,342","Analyze"
"GAME","Engine Media Holdings, Inc.","Communication Services","US Equity","Common stocks","Micro cap","$21,957,356","105,720","Analyze"
"NCTY","The9  Limited ADRs","Information Technology","US Equity","ADRs","Micro cap","$20,794,849","148,847","Analyze"
"SLGG","Super League Gaming, Inc.","Communication Services","US Equity","Common stocks","Micro cap","$18,151,139","60,690","Analyze"
"MSGM","Motorsport Games Inc. - Class A","Communication Services","US Equity","Common stocks","Micro cap","$17,686,569","147,602","Analyze"
"GIGM","Gigamedia Limited","Information Technology","US Equity","Common stocks","Micro cap","$15,694,174","10,871","Analyze"
"BHAT","Blue Hat Interactive Entertainment Technology","Communication Services","US Equity","Common stocks","Micro cap","$5,421,607","126,696","Analyze"
"VS","Versus Systems Inc.","Communication Services","US Equity","Common stocks","Micro cap","$4,663,837","1,506,123","Analyze"
"YVR","Liquid Media Group Ltd.","Consumer Discretionary","US Equity","Common stocks","Micro cap","$2,591,885","123,977","Analyze"
