"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"POOL","Pool Corp","Consumer Discretionary","US Equity","Common stocks","Large cap","$12,718,486,682","318,521","Analyze"
"HAS","Hasbro Inc","Consumer Discretionary","US Equity","Common stocks","Mid cap","$6,723,013,844","2,508,042","Analyze"
"PLNT","Planet Fitness Inc Class A","Consumer Discretionary","US Equity","Common stocks","Mid cap","$6,362,741,228","714,258","Analyze"
"MAT","Mattel Inc","Consumer Discretionary","US Equity","Common stocks","Mid cap","$5,758,976,827","3,107,750","Analyze"
"BC","Brunswick Corp","Consumer Discretionary","US Equity","Common stocks","Mid cap","$5,524,224,122","602,284","Analyze"
"ELY","Callaway Golf","Consumer Discretionary","US Equity","Common stocks","Mid cap","$3,941,152,952","2,101,267","Analyze"
"MANU","Manchester United Ltd. Class A","Consumer Discretionary","US Equity","Common stocks","Mid cap","$3,872,880,000","1,914,046","Analyze"
"SEAS","Seaworld Entertainment Inc","Consumer Discretionary","US Equity","Common stocks","Mid cap","$3,536,660,900","893,063","Analyze"
"YETI","Yeti Holdings, Inc.","Consumer Discretionary","US Equity","Common stocks","Mid cap","$3,425,472,300","1,199,752","Analyze"
"GOLF","Acushnet Holdings Corp","Consumer Discretionary","US Equity","Common stocks","Mid cap","$3,355,993,054","355,814","Analyze"
"PTON","Peloton Interactive, Inc. Class A","Consumer Discretionary","US Equity","Common stocks","Mid cap","$3,038,996,313","10,903,015","Analyze"
"LTH","Life Time Group Holdings, Inc.","Consumer Discretionary","US Equity","Common stocks","Mid cap","$2,933,561,270","1,009,827","Analyze"
"FUN","Cedar Fair LP","Consumer Discretionary","US Equity","MLPs","Mid cap","$2,272,485,244","225,739","Analyze"
"SIX","Six Flags Entertainment Corp","Consumer Discretionary","US Equity","Common stocks","Small cap","$1,983,712,283","1,924,661","Analyze"
"CUK","Carnival PLC ADRs","Consumer Discretionary","US Equity","ADRs","Small cap","$1,542,981,323","2,093,450","Analyze"
"VSTO","Vista Outdoor Inc","Consumer Discretionary","US Equity","Common stocks","Small cap","$1,470,590,533","521,231","Analyze"
"OSW","OneSpaWorld Holdings Limited","Consumer Discretionary","US Equity","Common stocks","Small cap","$904,415,905","664,348","Analyze"
"XPOF","Xponential Fitness, Inc.","Consumer Discretionary","US Equity","Common stocks","Small cap","$899,339,045","736,405","Analyze"
"JOUT","Johnson Outdoors Inc Class A","Consumer Discretionary","US Equity","Common stocks","Small cap","$537,308,952","82,225","Analyze"
"FNKO","Funko, Inc. Class A","Consumer Discretionary","US Equity","Common stocks","Small cap","$366,952,508","1,408,630","Analyze"
"CLAR","Clarus Corporation","Consumer Discretionary","US Equity","Common stocks","Small cap","$321,057,679","590,777","Analyze"
"SPWH","Sportsmans Warehouse Holdings Inc","Consumer Discretionary","US Equity","Common stocks","Micro cap","$295,924,873","402,805","Analyze"
"ESCA","Escalade Inc","Consumer Discretionary","US Equity","Common stocks","Micro cap","$187,988,031","7,230","Analyze"
"POWW","AMMO Inc","Consumer Discretionary","US Equity","Common stocks","Micro cap","$187,372,623","907,108","Analyze"
"PLBY","PLBY Group, Inc.","Consumer Discretionary","US Equity","Common stocks","Micro cap","$148,311,824","1,306,904","Analyze"
"JAKK","Jakks Pacific Inc","Consumer Discretionary","US Equity","Common stocks","Micro cap","$138,074,183","140,536","Analyze"
"FXLV","F45 Training Holdings Inc.","Consumer Discretionary","US Equity","Common stocks","Micro cap","$122,197,525","422,780","Analyze"
"AOUT","American Outdoor Brands, Inc.","Consumer Discretionary","US Equity","Common stocks","Micro cap","$119,454,494","23,328","Analyze"
"BBIG","Vinco Ventures, Inc.","Communication Services","US Equity","Common stocks","Micro cap","$85,253,375","5,682,847","Analyze"
"ISPO","Inspirato Incorporated - Class A","Consumer Discretionary","US Equity","Common stocks","Micro cap","$62,675,967","252,993","Analyze"
"BTN","Ballantyne Strong Inc","Communication Services","US Equity","Common stocks","Micro cap","$50,231,694","5,835","Analyze"
"NLS","Nautilus Inc","Consumer Discretionary","US Equity","Common stocks","Micro cap","$40,745,554","208,530","Analyze"
"VMAR","Vision Marine Technologies Inc.","Consumer Discretionary","US Equity","Common stocks","Micro cap","$32,936,378","10,343","Analyze"
"DS","Drive Shack Inc","Consumer Discretionary","US Equity","Common stocks","Micro cap","$15,483,729","8,152,180","Analyze"
