"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"IEP","Icahn Enterprises LP","Financials","US Equity","MLPs","Large cap","$17,869,538,078","852,115","Analyze"
"SEB","Seaboard Corp","Consumer Staples","US Equity","Common stocks","Mid cap","$4,331,249,506","1,686","Analyze"
"CODI","Compass Diversified Holdings","Financials","US Equity","MLPs","Small cap","$1,314,089,668","284,127","Analyze"
"BBU","Brookfield Business Partners L.P.","Real Estate","US Equity","MLPs","Small cap","$1,229,622,191","21,931","Analyze"
"MATW","Matthews International Corp Class","Industrials","US Equity","Common stocks","Small cap","$1,049,784,020","183,180","Analyze"
"SPLP","Steel Partners Holdings LP","Industrials","US Equity","MLPs","Small cap","$926,628,156","7,332","Analyze"
"TRC","Tejon Ranch","Real Estate","US Equity","Common stocks","Small cap","$463,838,577","44,867","Analyze"
"OBCI","Ocean Bio Chem Inc","Consumer Staples","US Equity","Common stocks","Micro cap","$65,902,912","11,147","Analyze"
"NNBR","NN Inc","Industrials","US Equity","Common stocks","Micro cap","$47,792,220","183,850","Analyze"
"IGC","India Globalization Capital Inc.","Industrials","US Equity","Common stocks","Micro cap","$18,285,177","106,534","Analyze"
