"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"ACN","Accenture Plc Class A","Information Technology","US Equity","Common stocks","Large cap","$178,857,823,442","2,873,416","Analyze"
"IBM","International Business Machines Co","Information Technology","US Equity","Common stocks","Large cap","$111,909,619,229","6,986,533","Analyze"
"INFY","Infosys Ltd ADRs","Information Technology","US Equity","ADRs","Large cap","$70,261,267,145","9,306,752","Analyze"
"FISV","Fiserv Inc","Information Technology","US Equity","Common stocks","Large cap","$69,784,838,263","4,789,977","Analyze"
"CTSH","Cognizant Technology Solutions","Information Technology","US Equity","Common stocks","Large cap","$29,620,574,983","4,641,452","Analyze"
"FIS","Fidelity National Information Services","Information Technology","US Equity","Common stocks","Large cap","$29,579,015,586","8,223,341","Analyze"
"CDW","CDW Corp","Information Technology","US Equity","Common stocks","Large cap","$25,911,546,352","800,642","Analyze"
"IT","Gartner Inc","Information Technology","US Equity","Common stocks","Large cap","$24,393,355,981","570,382","Analyze"
"WIT","Wipro Ltd ADRs","Information Technology","US Equity","ADRs","Large cap","$24,254,533,570","1,732,868","Analyze"
"GIB","CGI Group","Information Technology","US Equity","Common stocks","Large cap","$19,272,374,676","170,404","Analyze"
"EPAM","Epam Systems Inc","Information Technology","US Equity","Common stocks","Large cap","$16,406,504,824","538,071","Analyze"
"BR","Broadridge Financial Solutions Inc","Information Technology","US Equity","Common stocks","Large cap","$16,225,159,186","655,002","Analyze"
"FLT","Fleetcor Technologies Inc","Information Technology","US Equity","Common stocks","Large cap","$14,680,680,418","799,347","Analyze"
"LDOS","Leidos Holdings Inc","Industrials","US Equity","Common stocks","Large cap","$12,370,796,386","988,658","Analyze"
"JKHY","Jack Henry & Associates, Inc.","Information Technology","US Equity","Common stocks","Large cap","$10,706,279,836","778,003","Analyze"
"SNX","Synnex Corp","Information Technology","US Equity","Common stocks","Mid cap","$8,696,698,289","434,043","Analyze"
"G","Genpact Ltd","Information Technology","US Equity","Common stocks","Mid cap","$8,236,986,065","872,674","Analyze"
"CACI","CACI International Inc","Industrials","US Equity","Common stocks","Mid cap","$6,640,338,374","180,479","Analyze"
"CLVT","Clarivate Plc","Industrials","US Equity","Common stocks","Mid cap","$6,359,859,869","5,977,779","Analyze"
