"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"HST","Host Hotels & Resorts, Inc","Real Estate","US Equity","REITs","Large cap","$10,602,298,757","8,617,556","Analyze"
"RHP","Ryman Hospitality Properties, Inc","Real Estate","US Equity","REITs","Mid cap","$4,375,288,425","482,117","Analyze"
"APLE","Apple Hospitality REIT, Inc","Real Estate","US Equity","REITs","Mid cap","$3,166,990,361","1,951,169","Analyze"
"PK","Park Hotels & Resorts Inc","Real Estate","US Equity","REITs","Mid cap","$2,445,385,805","3,620,653","Analyze"
"FCPT","Four Corners Property Trust, Inc","Real Estate","US Equity","REITs","Mid cap","$2,178,902,972","466,209","Analyze"
"SHO","Sunstone Hotel Investors, Inc","Real Estate","US Equity","REITs","Small cap","$1,847,023,889","2,601,793","Analyze"
"PEB","Pebblebrook Hotel Trust","Real Estate","US Equity","REITs","Small cap","$1,608,800,228","4,840,039","Analyze"
"RLJ","RLJ Lodging Trust","Real Estate","US Equity","REITs","Small cap","$1,547,600,874","1,874,170","Analyze"
"DRH","DiamondRock Hospitality Company","Real Estate","US Equity","REITs","Small cap","$1,538,117,060","2,543,861","Analyze"
"SVC","Service Properties Trust","Real Estate","US Equity","REITs","Small cap","$1,490,702,401","1,808,427","Analyze"
"XHR","Xenia Hotels & Resorts, Inc","Real Estate","US Equity","REITs","Small cap","$1,344,462,416","1,082,447","Analyze"
"INN","Summit Hotel Properties, Inc","Real Estate","US Equity","REITs","Small cap","$679,894,023","929,232","Analyze"
"CLDT","Chatham Lodging Trust","Real Estate","US Equity","REITs","Small cap","$468,981,283","574,876","Analyze"
"BHR","Braemar Hotels & Resorts, Inc","Real Estate","US Equity","REITs","Micro cap","$253,564,785","479,956","Analyze"
"HT","Hersha Hospitality Trust","Real Estate","US Equity","REITs","Micro cap","$235,233,568","1,538,951","Analyze"
"AHT","Ashford Hospitality Trust, Inc","Real Estate","US Equity","REITs","Micro cap","$94,861,591","712,744","Analyze"
"SOHO","Sotherly Hotels Inc","Real Estate","US Equity","REITs","Micro cap","$39,433,396","35,110","Analyze"
"IHT","Innsuites Hospitality Trust","Real Estate","US Equity","Common stocks","Micro cap","$13,767,445","2,426","Analyze"
