"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"WFG","West Fraser Timber Co. Ltd","Materials","US Equity","Common stocks","Mid cap","$5,601,399,669","161,114","Analyze"
"UFPI","Universal Forest Products Inc","Industrials","US Equity","Common stocks","Mid cap","$4,786,223,609","547,603","Analyze"
"BCC","Boise Cascade","Industrials","US Equity","Common stocks","Mid cap","$2,372,730,882","313,821","Analyze"
"EVA","Enviva Partners LP","Energy","US Equity","MLPs","Small cap","$1,855,221,199","906,965","Analyze"
"JCTCF","Jewett Cameron Trading Ltd","Industrials","US Equity","Common stocks","Micro cap","$20,260,725","7,075","Analyze"
