"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"MPC","Marathon Petroleum Corp","Energy","US Equity","Common stocks","Large cap","$55,711,074,738","4,817,404","Analyze"
"VLO","Valero Energy Corp","Energy","US Equity","Common stocks","Large cap","$48,390,645,998","5,473,203","Analyze"
"PSX","Phillips 66","Energy","US Equity","Common stocks","Large cap","$43,393,875,372","4,891,871","Analyze"
"DINO","HF Sinclair Corporation","Energy","US Equity","Common stocks","Mid cap","$9,460,111,149","2,946,167","Analyze"
"VVV","Valvoline Inc","Materials","US Equity","Common stocks","Mid cap","$5,718,577,258","2,121,439","Analyze"
"PBF","PBF Energy Inc Class A","Energy","US Equity","Common stocks","Mid cap","$5,316,832,826","3,286,644","Analyze"
"CSAN","Cosan S.A. ADRs","Energy","US Equity","ADRs","Mid cap","$4,816,362,295","466,370","Analyze"
"SUN","Sunoco LP","Financials","US Equity","MLPs","Mid cap","$3,494,318,455","209,068","Analyze"
"REGI","Renewable Energy Inc","Energy","US Equity","Common stocks","Mid cap","$3,103,168,512","2,345,177","Analyze"
"CVI","CVR Energy Inc","Energy","US Equity","Common stocks","Mid cap","$3,019,939,194","1,113,417","Analyze"
"UGP","Ultrapar Participacoes SA ADRs","Energy","US Equity","ADRs","Mid cap","$2,754,554,599","1,665,834","Analyze"
"PARR","Par Pacific Holdings Inc","Energy","US Equity","Common stocks","Small cap","$1,664,127,409","987,284","Analyze"
"DK","Delek US Holdings Inc","Energy","US Equity","Common stocks","Small cap","$1,488,117,792","2,167,765","Analyze"
"INT","World Fuel Services Corp","Energy","US Equity","Common stocks","Small cap","$1,472,263,352","589,003","Analyze"
"CLNE","Clean Energy Fuels Corp","Energy","US Equity","Common stocks","Small cap","$895,370,033","5,297,622","Analyze"
"CAPL","CrossAmerica Partners LP","Energy","US Equity","MLPs","Small cap","$759,890,208","46,944","Analyze"
"VTNR","Vertex Energy Inc","Energy","US Equity","Common stocks","Small cap","$628,051,256","4,952,895","Analyze"
"SHI","Sinopec Shanghai Petrochemical ADRs","Industrials","US Equity","ADRs","Small cap","$536,133,000","14,401","Analyze"
"SRLP","Sprague Resources LP","Energy","US Equity","MLPs","Small cap","$524,764,640","41,820","Analyze"
"REX","Rex American Resources Corp","Energy","US Equity","Common stocks","Small cap","$492,324,177","132,546","Analyze"
"NGL","NGL Energy Partners LP","Energy","US Equity","MLPs","Small cap","$326,991,138","1,325,560","Analyze"
"BPT","BP Prudhoe Bay Royalty Trust","Financials","US Equity","Royalty trusts","Micro cap","$184,254,000","225,504","Analyze"
"ALTO","Alto Ingredients, Inc.","Energy","US Equity","Common stocks","Micro cap","$115,722,564","1,094,290","Analyze"
"AMTX","Aemetis Inc","Energy","US Equity","Common stocks","Micro cap","$95,295,517","851,492","Analyze"
