"Symbol","Description","GICS sector","Category1","Category2","Category3","Market Cap","Average Volume","Actions"
"BLK","Blackrock Inc","Financials","US Equity","Common stocks","Large cap","$97,921,063,194","825,275","Analyze"
"BX","Blackstone Group Inc. Class A","Financials","US Equity","Common stocks","Large cap","$59,652,934,339","7,392,013","Analyze"
"KKR","KKR & Co Inc.","Financials","US Equity","Common stocks","Large cap","$43,481,777,263","3,743,398","Analyze"
"BK","Bank Of New York Mellon Corp","Financials","US Equity","Common stocks","Large cap","$34,577,988,683","6,859,136","Analyze"
"APO","Apollo Global Management LLC","Financials","US Equity","MLPs","Large cap","$32,926,642,845","4,571,983","Analyze"
"AMP","Ameriprise Finance Inc","Financials","US Equity","Common stocks","Large cap","$31,245,722,922","870,828","Analyze"
"STT","State Street Corp","Financials","US Equity","Common stocks","Large cap","$25,040,150,234","3,665,264","Analyze"
"TROW","T Rowe Price Group Inc","Financials","US Equity","Common stocks","Large cap","$24,438,316,789","2,479,051","Analyze"
"NTRS","Northern Trust Corporation","Financials","US Equity","Common stocks","Large cap","$17,289,025,820","1,587,341","Analyze"
"ARES","Ares Management Corporation Class A","Financials","US Equity","Common stocks","Large cap","$14,150,397,969","1,296,353","Analyze"
"BEN","Franklin Resources Inc","Financials","US Equity","Common stocks","Large cap","$13,101,758,382","4,639,913","Analyze"
"BAM","Brookfield Asset Management Inc.","Financials","US Equity","Common stocks","Large cap","$12,882,842,233","2,003,492","Analyze"
"CG","Carlyle Group","Financials","US Equity","Common stocks","Large cap","$11,145,101,828","4,914,845","Analyze"
"GRAB","Grab Holdings Limited - Class A","Industrials","US Equity","Common stocks","Large cap","$10,200,866,533","10,901,112","Analyze"
"ARCC","Ares Capital Corp","Financials","US Equity","BDCs","Mid cap","$9,361,348,765","3,875,512","Analyze"
"SEIC","SEI Investments","Financials","US Equity","Common stocks","Mid cap","$7,412,717,538","530,012","Analyze"
"IVZ","Invesco Ltd","Financials","US Equity","Common stocks","Mid cap","$6,839,462,530","5,685,916","Analyze"
"FSK","FS KKR Capital Corp.","Financials","US Equity","BDCs","Mid cap","$5,024,596,106","1,548,928","Analyze"
"AMG","Affiliated Managers Group Inc","Financials","US Equity","Common stocks","Mid cap","$4,897,729,162","374,263","Analyze"
