,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043,1044,1045,1046,1047,1048,1049,1050,1051,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073,1074,1075,1076,1077,1078,1079,1080,1081,1082,1083,1084,1085,1086,1087,1088,1089,1090,1091,1092,1093,1094,1095,1096,1097,1098,1099,1100,1101,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1120,1122,1124,1125,1126,1127,1128,1129,1130,1131,1132,1133,1134,1135,1136,1137,1138,1139,1140,1141,1142,1143,1144,1145,1146,1147
20160331,7.0,7.0,2.0,1.0,2,1,3.0,12.0,12.0,3.0,6.0,12.0,45.0,2.0,2.0,0.0,0.0,126.0,2.0,4.0,10.0,4.0,4.0,3.0,1,15.0,12.0,2.0,5.0,5.0,2.0,1,14.0,2,24.0,1,6.0,20.0,6.0,9.0,16.0,3.0,4.0,11.0,4.0,2.0,4.0,1.0,7.0,4.0,7,7.0,3.0,6.0,2,5.0,1,1.0,6.0,4.0,22.0,3.0,1.0,3.0,8.0,3.0,4.0,5.0,12.0,4.0,7.0,4.0,2.0,4.0,14.0,8.0,25.0,4,17.0,1.0,6.0,5.0,26.0,16.0,7.0,32.0,2,9.0,2.0,1.0,13.0,7.0,3.0,5.0,3.0,2.0,1.0,5.0,6.0,3.0,4.0,3.0,8.0,9.0,11.0,10.0,18.0,12.0,11.0,15.0,7.0,4.0,14.0,8.0,10.0,7.0,3.0,11.0,15.0,1.0,34.0,24.0,3.0,7.0,8.0,20.0,9.0,14.0,5.0,15.0,0.0,1.0,1.0,3.0,5.0,0.0,1.0,8.0,2,16.0,5.0,5.0,3.0,3.0
20160401,6.0,15.0,6.0,3.0,1,2,9.0,15.0,18.0,1.0,2.0,9.0,133.0,8.0,4.0,6.0,1.0,145.0,10.0,5.0,13.0,5.0,14.0,12.0,0,16.0,5.0,3.0,4.0,9.0,6.0,0,16.0,1,31.0,6,9.0,23.0,9.0,12.0,16.0,3.0,2.0,9.0,10.0,9.0,7.0,1.0,6.0,3.0,3,8.0,1.0,20.0,3,9.0,5,3.0,14.0,4.0,22.0,5.0,5.0,11.0,23.0,4.0,9.0,2.0,9.0,8.0,6.0,0.0,2.0,2.0,10.0,14.0,32.0,5,21.0,6.0,2.0,0.0,7.0,6.0,2.0,6.0,0,2.0,5.0,3.0,29.0,10.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,0.0,3.0,10.0,10.0,7.0,13.0,9.0,1.0,4.0,6.0,28.0,15.0,7.0,12.0,27.0,3.0,34.0,20.0,4.0,14.0,23.0,32.0,17.0,14.0,15.0,19.0,2.0,2.0,3.0,5.0,4.0,2.0,4.0,9.0,0,18.0,6.0,8.0,2.0,8.0
20160404,6.0,8.0,3.0,5.0,1,0,2.0,4.0,6.0,1.0,4.0,4.0,80.0,1.0,1.0,3.0,2.0,118.0,1.0,1.0,9.0,1.0,5.0,0.0,0,15.0,5.0,0.0,3.0,0.0,7.0,0,8.0,0,21.0,1,11.0,17.0,4.0,9.0,3.0,0.0,1.0,4.0,6.0,2.0,1.0,0.0,1.0,2.0,1,5.0,0.0,1.0,1,7.0,2,0.0,3.0,1.0,12.0,1.0,1.0,2.0,9.0,0.0,1.0,1.0,9.0,6.0,3.0,3.0,2.0,0.0,4.0,4.0,25.0,4,13.0,0.0,3.0,1.0,9.0,5.0,1.0,3.0,1,5.0,2.0,1.0,13.0,1.0,2.0,4.0,0.0,1.0,4.0,2.0,5.0,2.0,3.0,1.0,5.0,6.0,2.0,4.0,2.0,10.0,6.0,5.0,6.0,0.0,0.0,1.0,8.0,7.0,1.0,5.0,9.0,0.0,26.0,10.0,2.0,8.0,7.0,4.0,7.0,5.0,1.0,11.0,0.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,1,6.0,0.0,6.0,2.0,5.0
20160405,2.0,14.0,2.0,2.0,0,1,0.0,2.0,3.0,6.0,2.0,9.0,37.0,0.0,1.0,0.0,0.0,63.0,3.0,1.0,6.0,1.0,0.0,2.0,0,7.0,4.0,1.0,2.0,1.0,1.0,1,6.0,0,8.0,0,4.0,9.0,2.0,6.0,6.0,2.0,0.0,10.0,3.0,3.0,3.0,0.0,2.0,1.0,3,8.0,0.0,23.0,2,2.0,0,1.0,5.0,1.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,2.0,2.0,9.0,0.0,5.0,0,3.0,4.0,0.0,5.0,18.0,12.0,1.0,8.0,1,4.0,5.0,3.0,4.0,1.0,0.0,1.0,0.0,3.0,2.0,5.0,3.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,12.0,2.0,1.0,5.0,1.0,0.0,9.0,1.0,6.0,2.0,3.0,4.0,8.0,4.0,11.0,3.0,5.0,3.0,8.0,6.0,7.0,3.0,11.0,3.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,5.0
20160406,12.0,26.0,6.0,1.0,4,1,7.0,12.0,21.0,9.0,7.0,19.0,155.0,16.0,1.0,5.0,2.0,149.0,9.0,10.0,14.0,8.0,16.0,9.0,0,31.0,12.0,4.0,6.0,8.0,5.0,2,21.0,1,36.0,6,13.0,24.0,9.0,14.0,19.0,6.0,2.0,15.0,13.0,7.0,9.0,1.0,6.0,5.0,9,14.0,3.0,17.0,7,9.0,4,3.0,17.0,6.0,27.0,6.0,4.0,9.0,13.0,3.0,5.0,9.0,21.0,12.0,12.0,5.0,3.0,2.0,13.0,19.0,36.0,7,25.0,3.0,7.0,6.0,37.0,29.0,11.0,33.0,2,12.0,8.0,2.0,25.0,13.0,2.0,4.0,3.0,2.0,3.0,8.0,8.0,4.0,5.0,4.0,10.0,2.0,4.0,3.0,14.0,10.0,9.0,14.0,10.0,5.0,16.0,8.0,27.0,12.0,7.0,17.0,35.0,0.0,58.0,32.0,5.0,15.0,31.0,33.0,20.0,12.0,11.0,16.0,2.0,3.0,3.0,6.0,8.0,2.0,5.0,3.0,0,7.0,8.0,7.0,0.0,4.0
20160407,3.0,7.0,1.0,1.0,2,0,3.0,1.0,3.0,2.0,1.0,3.0,30.0,0.0,0.0,2.0,1.0,61.0,1.0,2.0,4.0,1.0,4.0,1.0,1,10.0,3.0,0.0,1.0,1.0,4.0,0,6.0,0,13.0,1,1.0,14.0,2.0,5.0,2.0,0.0,1.0,3.0,1.0,4.0,2.0,0.0,1.0,0.0,2,1.0,0.0,21.0,1,5.0,1,0.0,3.0,2.0,2.0,1.0,0.0,0.0,6.0,0.0,4.0,0.0,5.0,2.0,3.0,1.0,1.0,0.0,10.0,3.0,13.0,0,7.0,4.0,2.0,0.0,20.0,5.0,1.0,15.0,1,2.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,3.0,7.0,2.0,2.0,2.0,0.0,0.0,8.0,6.0,6.0,3.0,1.0,7.0,10.0,4.0,7.0,3.0,0.0,5.0,3.0,14.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,6.0,2,10.0,7.0,7.0,2.0,3.0
20160408,3.0,19.0,8.0,9.0,4,3,2.0,2.0,18.0,5.0,5.0,20.0,174.0,18.0,3.0,5.0,3.0,59.0,4.0,9.0,16.0,6.0,11.0,14.0,1,24.0,9.0,4.0,3.0,6.0,5.0,3,19.0,1,14.0,2,3.0,9.0,9.0,16.0,19.0,3.0,3.0,18.0,11.0,15.0,8.0,2.0,2.0,6.0,0,10.0,3.0,24.0,3,5.0,1,1.0,13.0,8.0,22.0,4.0,3.0,10.0,19.0,3.0,7.0,8.0,12.0,8.0,11.0,6.0,1.0,2.0,20.0,15.0,17.0,2,14.0,8.0,5.0,7.0,43.0,32.0,12.0,36.0,2,12.0,12.0,3.0,27.0,12.0,2.0,6.0,1.0,4.0,5.0,11.0,6.0,5.0,4.0,6.0,10.0,8.0,11.0,9.0,11.0,19.0,7.0,22.0,13.0,6.0,11.0,7.0,21.0,11.0,8.0,9.0,29.0,4.0,42.0,18.0,2.0,16.0,29.0,41.0,13.0,14.0,16.0,27.0,4.0,3.0,3.0,8.0,4.0,6.0,4.0,13.0,2,18.0,7.0,7.0,3.0,5.0
20160411,5.0,11.0,6.0,4.0,2,3,4.0,11.0,21.0,8.0,4.0,16.0,160.0,16.0,1.0,1.0,1.0,53.0,5.0,5.0,6.0,1.0,13.0,13.0,1,17.0,8.0,0.0,3.0,5.0,5.0,3,16.0,2,13.0,2,1.0,4.0,5.0,10.0,19.0,2.0,1.0,11.0,1.0,10.0,8.0,1.0,4.0,3.0,5,9.0,1.0,23.0,0,3.0,2,2.0,6.0,6.0,18.0,4.0,3.0,12.0,9.0,1.0,3.0,7.0,9.0,8.0,6.0,5.0,1.0,1.0,20.0,5.0,18.0,2,7.0,7.0,5.0,7.0,26.0,19.0,10.0,26.0,0,4.0,10.0,4.0,11.0,7.0,3.0,0.0,1.0,3.0,4.0,5.0,7.0,4.0,3.0,4.0,5.0,9.0,8.0,6.0,18.0,10.0,1.0,7.0,8.0,5.0,12.0,1.0,19.0,6.0,5.0,9.0,23.0,4.0,20.0,9.0,2.0,14.0,18.0,27.0,9.0,9.0,17.0,11.0,1.0,3.0,0.0,6.0,4.0,2.0,3.0,6.0,2,3.0,2.0,5.0,1.0,3.0
20160412,10.0,26.0,7.0,10.0,2,2,9.0,20.0,24.0,11.0,5.0,23.0,198.0,18.0,4.0,5.0,2.0,102.0,10.0,7.0,11.0,6.0,21.0,15.0,1,16.0,10.0,4.0,5.0,7.0,6.0,3,23.0,4,23.0,8,11.0,18.0,6.0,19.0,14.0,5.0,3.0,21.0,15.0,13.0,11.0,1.0,5.0,5.0,9,12.0,2.0,18.0,5,8.0,5,4.0,13.0,5.0,21.0,7.0,7.0,13.0,25.0,5.0,9.0,11.0,15.0,13.0,10.0,4.0,1.0,4.0,8.0,18.0,30.0,6,21.0,8.0,7.0,7.0,42.0,31.0,13.0,35.0,2,16.0,11.0,4.0,22.0,13.0,3.0,7.0,2.0,3.0,6.0,11.0,9.0,2.0,2.0,8.0,9.0,9.0,11.0,6.0,18.0,18.0,10.0,19.0,13.0,6.0,12.0,10.0,23.0,11.0,7.0,9.0,18.0,3.0,31.0,14.0,5.0,21.0,33.0,47.0,28.0,12.0,18.0,27.0,4.0,3.0,4.0,7.0,10.0,7.0,6.0,15.0,2,20.0,7.0,9.0,2.0,7.0
