,up_limit,turnover,close,open,high,low,volume
IC,0.23967587491777334,0.005806669802826706,0.021368870651105713,0.012555071920252172,0.017275065308252808,0.017499478620756438,-0.0007768436200873196
IR,1.775223551642785,0.037341326459347686,0.1128221584468794,0.06623509042365565,0.09135455312861007,0.09219473422855051,-0.006983750957059996
IC Winrate,0.9535017221584385,0.5126291618828932,0.5585533869115958,0.5413318025258324,0.5482204362801377,0.5505166475315729,0.49942594718714123
